,Zip Code,2020 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
0,76501,550,120600,777,1138,456,6342,4132,2210
1,76502,931,166500,1145,1442,561,15313,10158,5155
2,76504,729,98500,807,1124,427,9009,3072,5937
3,76511,359,101700,537,1125,360,775,585,190
4,76513,777,179300,1118,1535,531,14123,9398,4725
5,76518,421,96800,440,1176,369,550,443,107
6,76519,-666666666,140800,-666666666,1985,526,153,120,33
7,76520,531,99800,615,1050,483,2881,1929,952
8,76522,667,121100,1001,1254,482,14201,8635,5566
9,76524,719,158300,1017,1334,448,1342,1082,260
10,76525,482,97900,520,1095,390,525,412,113
11,76527,628,289300,1181,1818,571,1187,800,387
12,76528,498,130600,670,1203,390,5708,4313,1395
13,76530,555,152400,806,1334,475,616,473,143
14,76534,607,159100,870,1305,504,1116,892,224
15,76537,886,188800,1446,1564,510,2030,1640,390
16,76538,1075,120800,736,982,514,466,402,64
17,76539,485,198400,1243,1482,522,3106,2895,211
18,76541,548,71600,553,923,370,7766,1967,5799
19,76542,880,161800,1247,1423,486,18315,10302,8013
20,76543,723,96900,750,1062,410,12618,4786,7832
21,76544,1182,-666666666,-666666666,-666666666,512,2978,57,2921
22,76548,735,200900,1418,1638,578,10945,6104,4841
23,76549,902,146400,1121,1264,459,18213,9072,9141
24,76550,544,158200,839,1280,582,5248,3829,1419
25,76554,698,133200,889,1095,410,835,607,228
26,76556,425,103800,531,1223,293,636,577,59
27,76557,638,170500,621,1535,366,2033,1637,396
28,76559,693,141400,1285,1384,431,2170,1339,831
29,76561,421,97000,766,957,425,382,287,95
30,76566,-666666666,185000,557,-666666666,497,73,68,5
31,76567,580,115800,738,1138,419,3628,2574,1054
32,76569,540,77900,644,1129,347,824,652,172
33,76570,420,72000,528,1543,332,894,712,182
34,76571,680,283700,1371,1925,660,3096,2631,465
35,76574,710,174800,1076,1564,577,6571,4594,1977
36,76577,581,152400,760,1230,376,1166,908,258
37,76578,685,163500,792,1591,540,378,295,83
38,76579,583,137600,763,1115,424,1855,1284,571
39,76624,634,102700,692,1243,395,833,691,142
40,76630,713,120700,669,1362,445,524,466,58
41,76632,827,102200,419,1375,359,512,410,102
42,76633,672,236000,1173,1604,683,1746,1621,125
43,76638,850,243000,976,2109,571,1134,1043,91
44,76640,658,88800,723,1037,406,1083,770,313
45,76643,966,174900,1141,1487,619,5167,3565,1602
46,76655,725,198100,1298,1731,559,2938,2605,333
47,76656,469,108100,829,1350,345,825,682,143
48,76657,794,253000,1323,1858,641,3784,2837,947
49,76661,404,47700,613,901,410,2355,1511,844
50,76664,590,99800,714,1240,458,1083,788,295
51,76680,-666666666,-666666666,396,-666666666,314,64,64,0
52,76682,733,106300,584,1166,410,992,779,213
53,76685,-666666666,-666666666,363,-666666666,381,23,23,0
54,76691,620,141300,756,1559,462,2316,1798,518
55,76701,848,153000,757,1847,608,696,151,545
56,76704,486,102700,643,941,433,3186,1118,2068
57,76705,604,109900,765,1119,454,11050,6300,4750
58,76706,749,127000,797,1403,522,13488,5278,8210
59,76707,607,81200,612,895,421,5437,2767,2670
60,76708,669,139700,875,1383,480,9641,5938,3703
61,76710,733,151900,961,1402,607,10943,5393,5550
62,76711,951,72500,494,1010,363,3653,2015,1638
63,76712,866,218600,1312,1629,719,9926,6895,3031
64,76798,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
65,76831,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
66,76853,711,161500,660,1131,474,474,371,103
67,76885,-666666666,-666666666,-666666666,-666666666,297,73,50,23
68,77853,530,118800,578,1073,494,508,436,72
69,78602,984,209200,1087,1448,608,9107,6990,2117
70,78605,585,151400,636,1339,330,2144,1869,275
71,78606,586,273000,937,1723,530,2383,1827,556
72,78607,-666666666,356300,-666666666,-666666666,-666666666,55,45,10
73,78608,-666666666,221500,-666666666,1559,294,142,103,39
74,78609,640,182100,722,1643,500,850,658,192
75,78610,1198,274800,1671,1939,806,13284,10341,2943
76,78611,720,195100,833,1569,542,4507,3508,999
77,78612,1030,191000,1146,1590,560,4119,3446,673
78,78613,1322,318400,1861,2162,808,27558,19693,7865
79,78615,737,210900,1226,1535,547,376,296,80
80,78617,1003,178100,1065,1400,592,6981,5665,1316
81,78618,746,312800,493,1617,451,148,121,27
82,78619,1045,521100,2280,3081,758,1907,1721,186
83,78620,1113,430300,1844,2510,821,6416,5509,907
84,78621,773,187400,1021,1466,508,7183,5704,1479
85,78624,858,317200,813,1691,591,9343,6565,2778
86,78626,1169,247700,1517,1769,666,11466,7736,3730
87,78628,1089,329200,1790,2247,790,13159,9788,3371
88,78631,929,237200,793,1618,396,1129,952,177
89,78633,1415,333300,1069,1911,743,12626,11580,1046
90,78634,1322,224000,1634,1758,623,11461,9072,2389
91,78635,-666666666,-666666666,-666666666,-666666666,209,183,138,45
92,78636,855,259100,677,1317,492,1512,1132,380
93,78639,679,192200,856,1165,536,3481,2461,1020
94,78640,1221,203400,1453,1655,608,19246,13360,5886
95,78641,1355,281700,1759,2015,760,24371,19304,5067
96,78642,859,313000,1470,2110,640,3825,3023,802
97,78643,624,227700,812,1347,459,2666,2112,554
98,78645,873,293900,1331,1841,719,4851,4105,746
99,78650,553,191700,738,1149,633,702,578,124
100,78652,1294,320100,1760,2103,601,2210,1450,760
101,78653,1282,219800,1572,1712,610,8981,7565,1416
102,78654,815,226200,913,1534,576,7174,5216,1958
103,78657,932,321100,1067,1425,691,2787,2429,358
104,78659,-666666666,259000,645,1612,454,943,879,64
105,78660,1248,254400,1640,1846,758,33953,25252,8701
106,78662,-666666666,211600,738,1423,343,1041,795,246
107,78663,-666666666,-666666666,-666666666,1755,703,304,249,55
108,78664,1134,231800,1536,1657,668,21034,11435,9599
109,78665,1330,286300,1831,2033,820,16257,10702,5555
110,78666,952,186400,1018,1500,519,29205,11069,18136
111,78669,795,447700,2164,2733,811,5185,4763,422
112,78671,-666666666,162000,782,1263,513,229,174,55
113,78672,-666666666,132100,715,988,368,497,483,14
114,78675,-666666666,-666666666,850,-666666666,521,129,106,23
115,78676,936,355400,1309,1852,744,5884,4608,1276
116,78681,1270,320200,1890,2214,799,18018,13689,4329
117,78701,2169,498400,2865,3250,1501,7287,2748,4539
118,78702,1181,449400,1657,2381,769,10513,4262,6251
119,78703,1470,980500,2898,3941,1501,9478,5343,4135
120,78704,1377,596200,2178,2893,1091,26471,8758,17713
121,78705,1247,405800,1537,2541,895,8492,764,7728
122,78712,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
123,78717,1281,390000,2260,2647,1034,9916,5900,4016
124,78719,836,153600,961,1318,485,405,319,86
125,78721,1101,321900,1211,1710,584,4027,2119,1908
126,78722,1262,442300,1790,2503,850,3145,1456,1689
127,78723,1043,371200,1747,2162,744,14192,6835,7357
128,78724,1048,150400,981,1360,556,6619,4180,2439
129,78725,1204,190600,1250,1450,566,3038,2583,455
130,78726,1191,468900,2819,3117,887,5604,2476,3128
131,78727,1262,320000,1615,1942,807,13911,6221,7690
132,78729,1203,310800,1721,1922,700,11516,4811,6705
133,78730,1246,761700,3529,4001,1501,4453,2566,1887
134,78731,1228,642300,2201,3442,1126,13412,7313,6099
135,78732,1447,546400,2953,3384,1248,6197,4597,1600
136,78733,1767,684400,2623,3283,1240,2839,2578,261
137,78734,1574,436800,2115,2459,988,8181,6786,1395
138,78735,1480,555300,2451,3105,1120,7862,3871,3991
139,78736,1400,368000,1678,2489,656,3677,2665,1012
140,78737,1656,482000,2590,2969,1015,6280,5708,572
141,78738,1432,568600,2579,2954,1170,6368,4611,1757
142,78739,2250,493600,2539,2903,1058,6788,6395,393
143,78741,1050,250500,1180,1786,473,20714,3467,17247
144,78742,924,-666666666,432,1848,263,273,170,103
145,78744,1064,196700,1153,1412,606,16053,7677,8376
146,78745,1199,307700,1381,1773,648,27994,13565,14429
147,78746,1487,936000,3133,4001,1501,10414,7224,3190
148,78747,1383,247200,1383,1567,692,6657,5305,1352
149,78748,1322,297600,1614,1814,733,21027,12485,8542
150,78749,1351,363600,1765,2029,866,15836,10462,5374
151,78750,1350,409800,1730,2360,1048,12383,7193,5190
152,78751,1224,482100,2222,2819,906,8446,2124,6322
153,78752,1035,292500,1394,1954,542,9133,2129,7004
154,78753,973,218100,1305,1638,674,21602,7644,13958
155,78754,1135,245300,1499,1729,601,9348,5410,3938
156,78756,1241,562300,2007,2930,1217,4414,1997,2417
157,78757,1078,447000,1655,2401,827,11261,6369,4892
158,78758,1115,261300,1321,1654,614,21851,6301,15550
159,78759,1175,459600,1769,2532,862,21740,10542,11198
160,78942,668,150400,777,1313,510,3194,2285,909
161,78946,769,123000,534,1467,468,499,360,139
162,78947,719,210100,687,1515,485,1742,1562,180
163,78948,-666666666,357100,564,1575,546,154,132,22
164,78953,996,161000,964,1258,536,403,282,121
