,Zip Code,2022 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
116,78681,1552,418900,2035,2553,912,20005,14842,5163
117,78701,2368,609800,3276,3603,1501,6667,3294,3373
118,78702,1630,569700,2075,2724,961,12349,5200,7149
119,78703,2051,1194200,3597,4001,1501,11272,5651,5621
120,78704,1520,721200,2469,3355,1387,27465,8730,18735
121,78705,1375,493900,1571,2192,1092,10053,1196,8857
122,78712,-666666666,-666666666,-666666666,-666666666,-666666666,0,0,0
123,78717,1505,532400,2682,3161,1157,13022,7325,5697
124,78719,-666666666,130000,678,1207,627,528,497,31
125,78721,1473,436900,1757,2327,676,4237,2128,2109
126,78722,1473,622900,2556,3138,952,3136,1520,1616
127,78723,1224,456100,2035,2456,888,15420,7500,7920
128,78724,1167,224200,1143,1613,681,8446,5601,2845
129,78725,1731,266000,1514,1749,828,3807,3243,564
130,78726,1426,592500,2896,3386,1166,6123,2707,3416
131,78727,1530,417300,1815,2280,894,13624,6057,7567
132,78729,1352,381600,1947,2215,836,14597,6169,8428
133,78730,1380,929500,3475,4001,1501,4149,2691,1458
134,78731,1364,778000,2447,3876,1282,13432,7363,6069
135,78732,1468,666800,3172,3676,1383,7062,5042,2020
136,78733,2513,859100,2943,3670,1497,3069,2737,332
137,78734,1717,571100,2255,2878,1153,9362,7681,1681
138,78735,1713,741000,3056,3544,1266,9116,4223,4893
139,78736,1654,493800,1880,2637,780,3979,2804,1175
140,78737,2039,628800,2905,3363,1104,7729,6857,872
141,78738,1810,691400,2951,3471,1451,11128,8543,2585
142,78739,2869,644200,2778,3282,1211,6775,6165,610
143,78741,1228,325200,1397,2263,599,22410,4147,18263
144,78742,1105,-666666666,757,2118,720,378,259,119
145,78744,1247,265900,1434,1712,616,18012,9144,8868
146,78745,1399,398200,1716,2097,763,29030,13936,15094
147,78746,1786,1209300,3509,4001,1501,10904,7282,3622
148,78747,1496,318700,1517,1813,755,7959,5789,2170
149,78748,1487,385300,1905,2144,824,23542,13097,10445
150,78749,1589,474900,1926,2339,940,15459,9732,5727
151,78750,1526,531700,1897,2725,1208,11391,7184,4207
152,78751,1448,626600,2428,3323,1207,8982,1977,7005
153,78752,1185,330500,1502,2044,636,10322,2160,8162
154,78753,1145,302200,1505,1944,757,23524,7902,15622
155,78754,1340,288100,1872,2086,788,11885,7279,4606
156,78756,1224,720100,2391,3413,1442,4558,2016,2542
157,78757,1300,598900,2098,2915,993,11362,6705,4657
158,78758,1300,361900,1564,1955,738,23625,6251,17374
159,78759,1384,587700,2063,2837,1038,22112,10511,11601
160,78942,794,180500,922,1768,484,3442,2463,979
161,78946,846,164200,466,1635,403,437,257,180
162,78947,694,235300,986,1592,554,1799,1552,247
163,78948,529,238600,863,1681,533,247,172,75
164,78953,1341,264100,1087,1397,738,594,406,188
