,Zip Code,2022 Total,2022 With Mortgage,2022 Without Mortgage
1,76501,882,1320,510
2,76502,1315,1646,636
3,76504,955,1313,490
4,76511,837,1260,555
5,76513,1274,1788,608
6,76518,544,1453,434
7,76519,-666666666,2486,540
8,76520,725,1200,494
9,76522,1079,1389,543
10,76524,1104,1478,527
11,76525,621,1236,449
12,76527,1440,2043,656
13,76528,741,1421,472
14,76530,981,1629,588
15,76534,1155,1457,577
16,76537,1781,1867,627
17,76538,805,1220,535
18,76539,1321,1642,619
19,76541,567,1092,405
20,76542,1394,1590,569
21,76543,841,1214,460
22,76544,-666666666,-666666666,-666666666
23,76548,1624,1828,683
24,76549,1220,1482,516
25,76550,968,1497,698
26,76554,940,1239,514
27,76556,497,1483,361
28,76557,786,1705,387
29,76559,1399,1499,344
30,76561,874,1257,566
31,76566,665,2553,567
32,76567,784,1516,530
33,76569,757,1223,389
34,76570,531,1769,371
35,76571,1326,2154,769
36,76574,1257,1699,681
37,76577,834,1279,401
38,76578,1048,1602,690
39,76579,1126,1473,593
40,76624,709,1421,524
41,76630,1305,1792,461
42,76632,509,1556,397
43,76633,1182,2002,697
44,76638,1409,2438,819
45,76640,870,1183,449
46,76643,1236,1671,691
47,76655,1541,1868,733
48,76656,763,1390,373
49,76657,1547,2345,832
50,76661,497,938,436
51,76664,766,1356,557
52,76680,-666666666,-666666666,338
53,76682,734,1479,491
54,76685,-666666666,-666666666,-666666666
55,76691,907,1919,566
56,76701,705,-666666666,578
57,76704,736,1130,500
58,76705,842,1250,528
59,76706,851,1743,589
60,76707,698,1092,494
61,76708,1052,1599,593
62,76710,1036,1638,673
63,76711,609,1158,428
64,76712,1539,1893,809
65,76798,-666666666,-666666666,-666666666
66,76831,-666666666,-666666666,-666666666
67,76853,697,1467,543
68,76885,-666666666,-666666666,-666666666
69,77853,578,1557,494
70,78602,1253,1715,643
71,78605,927,1950,345
72,78606,1443,1865,638
73,78607,-666666666,-666666666,519
74,78608,-666666666,-666666666,603
75,78609,778,1641,576
76,78610,1876,2178,869
77,78611,968,1831,614
78,78612,1164,1756,608
79,78613,2122,2451,927
80,78615,1354,1653,812
81,78617,1045,1610,618
82,78618,600,1663,552
83,78619,2141,3208,997
84,78620,2049,2703,1117
85,78621,1237,1796,676
86,78624,1022,1939,685
87,78626,1736,1997,730
88,78628,2086,2488,948
89,78631,892,1773,470
90,78633,1328,2217,868
91,78634,1850,1971,814
92,78635,-666666666,-666666666,-666666666
93,78636,915,1688,607
94,78639,919,1341,614
95,78640,1561,1824,694
96,78641,2054,2392,907
97,78642,2088,2549,882
98,78643,918,1485,530
99,78645,1574,2268,802
100,78650,816,1219,669
101,78652,1958,2421,629
102,78653,1671,1837,691
103,78654,1038,1787,665
104,78657,1275,1886,808
105,78659,880,1864,564
106,78660,1904,2167,852
107,78662,804,1648,-666666666
108,78663,-666666666,1712,611
109,78664,1695,1891,816
110,78665,2176,2434,889
111,78666,1236,1699,604
112,78669,2136,2853,925
113,78671,659,1439,486
114,78672,452,1125,401
115,78675,705,-666666666,705
116,78676,1490,2200,883
117,78681,2035,2553,912
118,78701,3276,3603,1501
119,78702,2075,2724,961
120,78703,3597,4001,1501
121,78704,2469,3355,1387
122,78705,1571,2192,1092
123,78712,-666666666,-666666666,-666666666
124,78717,2682,3161,1157
125,78719,678,1207,627
126,78721,1757,2327,676
127,78722,2556,3138,952
128,78723,2035,2456,888
129,78724,1143,1613,681
130,78725,1514,1749,828
131,78726,2896,3386,1166
132,78727,1815,2280,894
133,78729,1947,2215,836
134,78730,3475,4001,1501
135,78731,2447,3876,1282
136,78732,3172,3676,1383
137,78733,2943,3670,1497
138,78734,2255,2878,1153
139,78735,3056,3544,1266
140,78736,1880,2637,780
141,78737,2905,3363,1104
142,78738,2951,3471,1451
143,78739,2778,3282,1211
144,78741,1397,2263,599
145,78742,757,2118,720
146,78744,1434,1712,616
147,78745,1716,2097,763
148,78746,3509,4001,1501
149,78747,1517,1813,755
150,78748,1905,2144,824
151,78749,1926,2339,940
152,78750,1897,2725,1208
153,78751,2428,3323,1207
154,78752,1502,2044,636
155,78753,1505,1944,757
156,78754,1872,2086,788
157,78756,2391,3413,1442
158,78757,2098,2915,993
159,78758,1564,1955,738
160,78759,2063,2837,1038
161,78942,922,1768,484
162,78946,466,1635,403
163,78947,986,1592,554
164,78948,863,1681,533
165,78953,1087,1397,738
