,Zip Code,2020 Total,2020 With Mortgage,2020 Without Mortgage
1,76501,777,1138,456
2,76502,1145,1442,561
3,76504,807,1124,427
4,76511,537,1125,360
5,76513,1118,1535,531
6,76518,440,1176,369
7,76519,-666666666,1985,526
8,76520,615,1050,483
9,76522,1001,1254,482
10,76524,1017,1334,448
11,76525,520,1095,390
12,76527,1181,1818,571
13,76528,670,1203,390
14,76530,806,1334,475
15,76534,870,1305,504
16,76537,1446,1564,510
17,76538,736,982,514
18,76539,1243,1482,522
19,76541,553,923,370
20,76542,1247,1423,486
21,76543,750,1062,410
22,76544,-666666666,-666666666,512
23,76548,1418,1638,578
24,76549,1121,1264,459
25,76550,839,1280,582
26,76554,889,1095,410
27,76556,531,1223,293
28,76557,621,1535,366
29,76559,1285,1384,431
30,76561,766,957,425
31,76566,557,-666666666,497
32,76567,738,1138,419
33,76569,644,1129,347
34,76570,528,1543,332
35,76571,1371,1925,660
36,76574,1076,1564,577
37,76577,760,1230,376
38,76578,792,1591,540
39,76579,763,1115,424
40,76624,692,1243,395
41,76630,669,1362,445
42,76632,419,1375,359
43,76633,1173,1604,683
44,76638,976,2109,571
45,76640,723,1037,406
46,76643,1141,1487,619
47,76655,1298,1731,559
48,76656,829,1350,345
49,76657,1323,1858,641
50,76661,613,901,410
51,76664,714,1240,458
52,76680,396,-666666666,314
53,76682,584,1166,410
54,76685,363,-666666666,381
55,76691,756,1559,462
56,76701,757,1847,608
57,76704,643,941,433
58,76705,765,1119,454
59,76706,797,1403,522
60,76707,612,895,421
61,76708,875,1383,480
62,76710,961,1402,607
63,76711,494,1010,363
64,76712,1312,1629,719
65,76798,-666666666,-666666666,-666666666
66,76831,-666666666,-666666666,-666666666
67,76853,660,1131,474
68,76885,-666666666,-666666666,297
69,77853,578,1073,494
70,78602,1087,1448,608
71,78605,636,1339,330
72,78606,937,1723,530
73,78607,-666666666,-666666666,-666666666
74,78608,-666666666,1559,294
75,78609,722,1643,500
76,78610,1671,1939,806
77,78611,833,1569,542
78,78612,1146,1590,560
79,78613,1861,2162,808
80,78615,1226,1535,547
81,78617,1065,1400,592
82,78618,493,1617,451
83,78619,2280,3081,758
84,78620,1844,2510,821
85,78621,1021,1466,508
86,78624,813,1691,591
87,78626,1517,1769,666
88,78628,1790,2247,790
89,78631,793,1618,396
90,78633,1069,1911,743
91,78634,1634,1758,623
92,78635,-666666666,-666666666,209
93,78636,677,1317,492
94,78639,856,1165,536
95,78640,1453,1655,608
96,78641,1759,2015,760
97,78642,1470,2110,640
98,78643,812,1347,459
99,78645,1331,1841,719
100,78650,738,1149,633
101,78652,1760,2103,601
102,78653,1572,1712,610
103,78654,913,1534,576
104,78657,1067,1425,691
105,78659,645,1612,454
106,78660,1640,1846,758
107,78662,738,1423,343
108,78663,-666666666,1755,703
109,78664,1536,1657,668
110,78665,1831,2033,820
111,78666,1018,1500,519
112,78669,2164,2733,811
113,78671,782,1263,513
114,78672,715,988,368
115,78675,850,-666666666,521
116,78676,1309,1852,744
117,78681,1890,2214,799
118,78701,2865,3250,1501
119,78702,1657,2381,769
120,78703,2898,3941,1501
121,78704,2178,2893,1091
122,78705,1537,2541,895
123,78712,-666666666,-666666666,-666666666
124,78717,2260,2647,1034
125,78719,961,1318,485
126,78721,1211,1710,584
127,78722,1790,2503,850
128,78723,1747,2162,744
129,78724,981,1360,556
130,78725,1250,1450,566
131,78726,2819,3117,887
132,78727,1615,1942,807
133,78729,1721,1922,700
134,78730,3529,4001,1501
135,78731,2201,3442,1126
136,78732,2953,3384,1248
137,78733,2623,3283,1240
138,78734,2115,2459,988
139,78735,2451,3105,1120
140,78736,1678,2489,656
141,78737,2590,2969,1015
142,78738,2579,2954,1170
143,78739,2539,2903,1058
144,78741,1180,1786,473
145,78742,432,1848,263
146,78744,1153,1412,606
147,78745,1381,1773,648
148,78746,3133,4001,1501
149,78747,1383,1567,692
150,78748,1614,1814,733
151,78749,1765,2029,866
152,78750,1730,2360,1048
153,78751,2222,2819,906
154,78752,1394,1954,542
155,78753,1305,1638,674
156,78754,1499,1729,601
157,78756,2007,2930,1217
158,78757,1655,2401,827
159,78758,1321,1654,614
160,78759,1769,2532,862
161,78942,777,1313,510
162,78946,534,1467,468
163,78947,687,1515,485
164,78948,564,1575,546
165,78953,964,1258,536
