,Zip Code,2019 Total,2019 With Mortgage,2019 Without Mortgage
1,76501,783,1134,474
2,76502,1143,1430,556
3,76504,771,1113,425
4,76511,520,1110,367
5,76513,1067,1526,539
6,76518,435,1414,377
7,76519,658,-666666666,375
8,76520,629,976,513
9,76522,953,1219,485
10,76524,929,1198,452
11,76525,521,1072,395
12,76527,864,1493,532
13,76528,656,1127,378
14,76530,772,1356,471
15,76534,832,1429,527
16,76537,1342,1453,552
17,76538,660,1288,545
18,76539,1196,1435,530
19,76541,568,948,376
20,76542,1227,1405,493
21,76543,841,1071,396
22,76544,555,-666666666,491
23,76548,1478,1707,557
24,76549,1167,1285,472
25,76550,807,1419,553
26,76554,901,1045,396
27,76556,633,1319,344
28,76557,580,1208,412
29,76559,1218,1387,401
30,76561,737,963,417
31,76566,564,1375,404
32,76567,689,1068,395
33,76569,790,1273,463
34,76570,441,1371,351
35,76571,1370,1789,638
36,76574,1021,1463,577
37,76577,646,1385,394
38,76578,777,1402,478
39,76579,767,1189,417
40,76624,729,1297,380
41,76630,1000,1425,458
42,76632,451,1208,369
43,76633,922,1619,640
44,76638,956,1935,578
45,76640,656,1087,368
46,76643,1120,1476,585
47,76655,1242,1788,594
48,76656,729,1288,370
49,76657,1188,1710,562
50,76661,529,976,392
51,76664,735,1203,484
52,76680,410,-666666666,277
53,76682,591,1187,415
54,76685,-666666666,-666666666,-666666666
55,76691,698,1269,442
56,76701,-666666666,1908,533
57,76704,545,974,389
58,76705,749,1083,421
59,76706,814,1366,501
60,76707,696,942,386
61,76708,937,1333,468
62,76710,961,1353,546
63,76711,580,869,385
64,76712,1315,1621,689
65,76798,-666666666,-666666666,-666666666
66,76831,-666666666,-666666666,-666666666
67,76853,854,1137,386
68,76885,-666666666,-666666666,-666666666
69,77853,668,1205,453
70,78602,1103,1467,578
71,78605,808,1324,388
72,78606,884,1631,574
73,78607,531,-666666666,531
74,78608,950,1500,-666666666
75,78609,601,1414,391
76,78610,1723,1931,674
77,78611,822,1453,507
78,78612,1018,1468,523
79,78613,1862,2110,777
80,78615,930,1470,521
81,78617,1103,1391,493
82,78618,683,1542,500
83,78619,1937,3034,796
84,78620,1882,2557,830
85,78621,1011,1387,508
86,78624,777,1639,563
87,78626,1382,1631,618
88,78628,1666,2178,747
89,78631,696,1494,382
90,78633,1042,1867,729
91,78634,1567,1681,667
92,78635,1300,1360,198
93,78636,842,1520,605
94,78639,816,1163,477
95,78640,1385,1579,565
96,78641,1679,1893,729
97,78642,1464,2086,561
98,78643,652,1199,436
99,78645,1270,1728,610
100,78650,676,1109,514
101,78652,1551,1990,576
102,78653,1393,1558,559
103,78654,904,1489,550
104,78657,1043,1705,791
105,78659,682,1539,466
106,78660,1603,1781,696
107,78662,714,1292,574
108,78663,1537,1760,575
109,78664,1475,1629,662
110,78665,1745,1920,838
111,78666,999,1470,514
112,78669,1980,2876,777
113,78671,670,1253,518
114,78672,535,967,313
115,78675,738,-666666666,491
116,78676,1176,1592,679
117,78681,1814,2121,806
118,78701,2406,2797,1335
119,78702,1433,2192,718
120,78703,2816,3814,1426
121,78704,2041,2813,1053
122,78705,1558,2614,1159
123,78712,-666666666,-666666666,-666666666
124,78717,2250,2571,1105
125,78719,976,1262,560
126,78721,1141,1444,585
127,78722,1758,2007,871
128,78723,1607,1989,664
129,78724,1046,1342,625
130,78725,1173,1422,493
131,78726,2556,2926,1111
132,78727,1574,1872,768
133,78729,1684,1880,676
134,78730,3534,4001,1501
135,78731,2352,3326,1182
136,78732,2743,3142,1254
137,78733,2428,3180,1268
138,78734,2070,2412,943
139,78735,2564,2959,1181
140,78736,1571,2541,639
141,78737,2567,2941,991
142,78738,2655,3141,1187
143,78739,2491,2784,1049
144,78741,1085,1568,477
145,78742,452,1848,344
146,78744,1098,1317,520
147,78745,1329,1707,643
148,78746,3034,4001,1501
149,78747,1336,1519,715
150,78748,1601,1733,673
151,78749,1770,2043,868
152,78750,1714,2375,1075
153,78751,2270,2751,786
154,78752,1472,1792,576
155,78753,1283,1607,671
156,78754,1612,1765,709
157,78756,2056,2975,1138
158,78757,1819,2312,796
159,78758,1221,1545,577
160,78759,1698,2573,917
161,78942,682,1288,497
162,78946,553,1506,430
163,78947,780,1545,453
164,78948,490,1677,465
165,78953,943,1264,393
