,Zip Code,2018 Total,2018 With Mortgage,2018 Without Mortgage
1,76501,754,1093,481
2,76502,1122,1404,556
3,76504,689,1076,410
4,76511,537,1178,337
5,76513,1023,1483,547
6,76518,406,1219,318
7,76519,604,-666666666,384
8,76520,596,1029,472
9,76522,954,1197,484
10,76524,915,1198,450
11,76525,483,1103,363
12,76527,886,1362,520
13,76528,698,1150,371
14,76530,766,1309,504
15,76534,833,1359,532
16,76537,1249,1376,551
17,76538,658,1159,396
18,76539,1028,1430,510
19,76541,583,904,394
20,76542,1205,1371,488
21,76543,829,1022,390
22,76544,-666666666,-666666666,444
23,76548,1379,1677,549
24,76549,1140,1249,446
25,76550,725,1332,527
26,76554,819,1019,396
27,76556,495,1104,402
28,76557,609,1219,421
29,76559,1127,1319,336
30,76561,613,878,373
31,76566,579,1180,313
32,76567,668,1023,427
33,76569,771,1153,472
34,76570,427,1177,350
35,76571,1319,1899,601
36,76574,980,1364,561
37,76577,590,1467,374
38,76578,783,1341,515
39,76579,670,1096,407
40,76624,650,1206,384
41,76630,1029,1406,481
42,76632,462,1134,385
43,76633,1109,1673,560
44,76638,904,1843,540
45,76640,687,1032,411
46,76643,1085,1479,603
47,76655,1297,1704,511
48,76656,666,1309,374
49,76657,1161,1675,537
50,76661,547,957,383
51,76664,698,1151,436
52,76680,454,-666666666,318
53,76682,580,1098,397
54,76685,-666666666,-666666666,-666666666
55,76691,697,1225,456
56,76701,1505,1712,545
57,76704,498,978,378
58,76705,773,1072,421
59,76706,802,1323,491
60,76707,642,932,376
61,76708,933,1300,462
62,76710,935,1298,557
63,76711,591,836,382
64,76712,1282,1578,692
65,76798,-666666666,-666666666,-666666666
66,76831,-666666666,-666666666,-666666666
67,76853,794,1170,383
68,76885,541,-666666666,523
69,77853,640,1263,506
70,78602,1081,1432,600
71,78605,806,1330,410
72,78606,875,1689,550
73,78607,-666666666,-666666666,-666666666
74,78608,979,1341,-666666666
75,78609,575,1182,410
76,78610,1706,1866,640
77,78611,787,1409,474
78,78612,1043,1562,503
79,78613,1822,2018,746
80,78615,1005,1362,545
81,78617,1063,1374,472
82,78618,600,1575,483
83,78619,2090,2793,817
84,78620,1863,2518,756
85,78621,1031,1377,473
86,78624,783,1650,550
87,78626,1307,1549,591
88,78628,1564,2020,712
89,78631,631,1470,347
90,78633,1039,1791,688
91,78634,1481,1600,635
92,78635,1345,-666666666,-666666666
93,78636,819,1416,578
94,78639,779,1170,434
95,78640,1332,1522,557
96,78641,1606,1797,680
97,78642,1588,2074,582
98,78643,660,1259,414
99,78645,1231,1662,600
100,78650,788,1167,535
101,78652,1463,1823,555
102,78653,1288,1439,512
103,78654,894,1496,517
104,78657,1052,1741,801
105,78659,718,1089,457
106,78660,1533,1700,691
107,78662,709,1296,533
108,78663,1350,1642,612
109,78664,1397,1533,662
110,78665,1728,1889,850
111,78666,954,1410,487
112,78669,1945,2730,756
113,78671,646,971,541
114,78672,626,911,340
115,78675,773,-666666666,-666666666
116,78676,1056,1456,657
117,78681,1760,2067,828
118,78701,2291,2680,1335
119,78702,1307,1945,629
120,78703,2822,3741,1501
121,78704,1895,2618,1019
122,78705,1524,2788,1095
123,78712,-666666666,-666666666,-666666666
124,78717,2139,2444,1019
125,78719,955,1261,625
126,78721,993,1337,578
127,78722,1631,1934,799
128,78723,1486,1892,633
129,78724,1042,1294,557
130,78725,1199,1370,455
131,78726,2489,2756,956
132,78727,1554,1796,739
133,78729,1559,1782,635
134,78730,3137,4001,1501
135,78731,2327,3109,1160
136,78732,2791,3266,1297
137,78733,2401,3193,1051
138,78734,2070,2432,887
139,78735,2561,2847,1186
140,78736,1602,2278,654
141,78737,2471,2861,912
142,78738,2706,3158,1186
143,78739,2412,2720,1027
144,78741,997,1546,491
145,78742,447,-666666666,403
146,78744,1029,1271,475
147,78745,1279,1628,624
148,78746,3015,3948,1501
149,78747,1332,1479,714
150,78748,1565,1703,632
151,78749,1721,1984,804
152,78750,1683,2264,980
153,78751,2068,2540,750
154,78752,1539,1770,593
155,78753,1255,1505,635
156,78754,1553,1713,704
157,78756,1979,2630,889
158,78757,1706,2223,779
159,78758,1151,1446,567
160,78759,1736,2472,887
161,78942,664,1296,468
162,78946,605,1427,544
163,78947,759,1457,440
164,78948,505,1635,487
165,78953,929,1113,374
