,Zip Code,2021 Median Rent
1,76501,597
2,76502,969
3,76504,759
4,76511,364
5,76513,838
6,76518,425
7,76519,-666666666
8,76520,575
9,76522,737
10,76524,725
11,76525,520
12,76527,535
13,76528,576
14,76530,559
15,76534,575
16,76537,1281
17,76538,-666666666
18,76539,644
19,76541,582
20,76542,933
21,76543,761
22,76544,1182
23,76548,777
24,76549,932
25,76550,595
26,76554,761
27,76556,-666666666
28,76557,714
29,76559,826
30,76561,524
31,76566,-666666666
32,76567,622
33,76569,764
34,76570,442
35,76571,927
36,76574,737
37,76577,585
38,76578,695
39,76579,639
40,76624,665
41,76630,736
42,76632,-666666666
43,76633,675
44,76638,962
45,76640,710
46,76643,1007
47,76655,875
48,76656,488
49,76657,831
50,76661,332
51,76664,624
52,76680,-666666666
53,76682,763
54,76685,-666666666
55,76691,648
56,76701,999
57,76704,554
58,76705,642
59,76706,780
60,76707,652
61,76708,720
62,76710,778
63,76711,1023
64,76712,939
65,76798,-666666666
66,76831,-666666666
67,76853,617
68,76885,-666666666
69,77853,578
70,78602,1016
71,78605,643
72,78606,586
73,78607,-666666666
74,78608,-666666666
75,78609,675
76,78610,1221
77,78611,809
78,78612,1035
79,78613,1370
80,78615,758
81,78617,1064
82,78618,784
83,78619,1138
84,78620,1200
85,78621,985
86,78624,962
87,78626,1228
88,78628,1155
89,78631,1067
90,78633,1431
91,78634,1422
92,78635,-666666666
93,78636,798
94,78639,761
95,78640,1265
96,78641,1503
97,78642,1025
98,78643,642
99,78645,723
100,78650,618
101,78652,1967
102,78653,1339
103,78654,943
104,78657,984
105,78659,-666666666
106,78660,1340
107,78662,-666666666
108,78663,-666666666
109,78664,1209
110,78665,1382
111,78666,1007
112,78669,769
113,78671,769
114,78672,-666666666
115,78675,-666666666
116,78676,959
117,78681,1384
118,78701,2087
119,78702,1473
120,78703,1756
121,78704,1422
122,78705,1349
123,78712,-666666666
124,78717,1351
125,78719,859
126,78721,1203
127,78722,1347
128,78723,1128
129,78724,1049
130,78725,1640
131,78726,1268
132,78727,1397
133,78729,1244
134,78730,1269
135,78731,1279
136,78732,1435
137,78733,1682
138,78734,1628
139,78735,1547
140,78736,1433
141,78737,1714
142,78738,1696
143,78739,2756
144,78741,1125
145,78742,1025
146,78744,1129
147,78745,1273
148,78746,1629
149,78747,1436
150,78748,1389
151,78749,1457
152,78750,1412
153,78751,1308
154,78752,1045
155,78753,1043
156,78754,1235
157,78756,1140
158,78757,1216
159,78758,1197
160,78759,1270
161,78942,718
162,78946,838
163,78947,714
164,78948,-666666666
165,78953,1247
