,Zip Code,2020 Median Rent
1,76501,550
2,76502,931
3,76504,729
4,76511,359
5,76513,777
6,76518,421
7,76519,-666666666
8,76520,531
9,76522,667
10,76524,719
11,76525,482
12,76527,628
13,76528,498
14,76530,555
15,76534,607
16,76537,886
17,76538,1075
18,76539,485
19,76541,548
20,76542,880
21,76543,723
22,76544,1182
23,76548,735
24,76549,902
25,76550,544
26,76554,698
27,76556,425
28,76557,638
29,76559,693
30,76561,421
31,76566,-666666666
32,76567,580
33,76569,540
34,76570,420
35,76571,680
36,76574,710
37,76577,581
38,76578,685
39,76579,583
40,76624,634
41,76630,713
42,76632,827
43,76633,672
44,76638,850
45,76640,658
46,76643,966
47,76655,725
48,76656,469
49,76657,794
50,76661,404
51,76664,590
52,76680,-666666666
53,76682,733
54,76685,-666666666
55,76691,620
56,76701,848
57,76704,486
58,76705,604
59,76706,749
60,76707,607
61,76708,669
62,76710,733
63,76711,951
64,76712,866
65,76798,-666666666
66,76831,-666666666
67,76853,711
68,76885,-666666666
69,77853,530
70,78602,984
71,78605,585
72,78606,586
73,78607,-666666666
74,78608,-666666666
75,78609,640
76,78610,1198
77,78611,720
78,78612,1030
79,78613,1322
80,78615,737
81,78617,1003
82,78618,746
83,78619,1045
84,78620,1113
85,78621,773
86,78624,858
87,78626,1169
88,78628,1089
89,78631,929
90,78633,1415
91,78634,1322
92,78635,-666666666
93,78636,855
94,78639,679
95,78640,1221
96,78641,1355
97,78642,859
98,78643,624
99,78645,873
100,78650,553
101,78652,1294
102,78653,1282
103,78654,815
104,78657,932
105,78659,-666666666
106,78660,1248
107,78662,-666666666
108,78663,-666666666
109,78664,1134
110,78665,1330
111,78666,952
112,78669,795
113,78671,-666666666
114,78672,-666666666
115,78675,-666666666
116,78676,936
117,78681,1270
118,78701,2169
119,78702,1181
120,78703,1470
121,78704,1377
122,78705,1247
123,78712,-666666666
124,78717,1281
125,78719,836
126,78721,1101
127,78722,1262
128,78723,1043
129,78724,1048
130,78725,1204
131,78726,1191
132,78727,1262
133,78729,1203
134,78730,1246
135,78731,1228
136,78732,1447
137,78733,1767
138,78734,1574
139,78735,1480
140,78736,1400
141,78737,1656
142,78738,1432
143,78739,2250
144,78741,1050
145,78742,924
146,78744,1064
147,78745,1199
148,78746,1487
149,78747,1383
150,78748,1322
151,78749,1351
152,78750,1350
153,78751,1224
154,78752,1035
155,78753,973
156,78754,1135
157,78756,1241
158,78757,1078
159,78758,1115
160,78759,1175
161,78942,668
162,78946,769
163,78947,719
164,78948,-666666666
165,78953,996
