Zip Code,2019 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,534,121000,783,1134,474,6293,3888,2405
76502,972,163600,1143,1430,556,15369,10396,4973
76504,707,96100,771,1113,425,9107,3574,5533
76511,505,91500,520,1110,367,641,494,147
76513,744,173000,1067,1526,539,13669,9180,4489
76518,675,98300,435,1414,377,561,466,95
76520,484,94700,629,976,513,2833,1879,954
76522,667,118300,953,1219,485,13651,7859,5792
76524,670,124000,929,1198,452,1113,995,118
76525,506,104900,521,1072,395,438,335,103
76527,602,171200,864,1493,532,1007,669,338
76528,539,113600,656,1127,378,6256,4409,1847
76530,558,150400,772,1356,471,675,530,145
76534,545,157300,832,1429,527,1014,751,263
76537,1012,180000,1342,1453,552,1814,1439,375
76538,758,158800,660,1288,545,360,242,118
76539,605,190400,1196,1435,530,3182,2850,332
76541,528,69900,568,948,376,7564,2085,5479
76542,883,153900,1227,1405,493,18194,10066,8128
76543,694,91500,841,1071,396,11847,4314,7533
76548,776,202100,1478,1707,557,10234,6268,3966
76549,876,138900,1167,1285,472,17895,8737,9158
76550,525,145900,807,1419,553,4956,3583,1373
76554,710,112300,901,1045,396,749,534,215
76556,508,118200,633,1319,344,591,515,76
76557,448,150400,580,1208,412,1874,1564,310
76559,672,132600,1218,1387,401,2128,1226,902
76561,443,88800,737,963,417,372,283,89
76567,613,109800,689,1068,395,3556,2365,1191
76569,801,85500,790,1273,463,812,584,228
76570,411,65000,441,1371,351,868,671,197
76571,665,292700,1370,1789,638,2933,2428,505
76574,730,163400,1021,1463,577,6356,4322,2034
76577,588,149300,646,1385,394,1214,938,276
76578,688,160400,777,1402,478,433,358,75
76579,754,140600,767,1189,417,1586,1202,384
76624,635,109500,729,1297,380,727,582,145
76630,703,148800,1000,1425,458,472,426,46
76632,832,83900,451,1208,369,588,466,122
76633,661,213500,922,1619,640,1793,1614,179
76638,805,240700,956,1935,578,1036,913,123
76640,576,88200,656,1087,368,1222,836,386
76643,913,167500,1120,1476,585,5425,3962,1463
76655,766,201100,1242,1788,594,2921,2446,475
76656,391,108800,729,1288,370,712,570,142
76657,740,194200,1188,1710,562,3379,2438,941
76661,336,58400,529,976,392,2081,1183,898
76664,551,109200,735,1203,484,1214,876,338
76682,717,95200,591,1187,415,1015,772,243
76691,611,113600,698,1269,442,2360,1823,537
76704,497,85500,545,974,389,3140,1131,2009
76705,597,97800,749,1083,421,10632,6291,4341
76706,750,123400,814,1366,501,13310,5269,8041
76707,624,77800,696,942,386,5225,2377,2848
76708,689,140500,937,1333,468,9740,6088,3652
76710,710,137300,961,1353,546,10814,5249,5565
76711,768,68500,580,869,385,3470,1790,1680
76712,816,209000,1315,1621,689,10007,7137,2870
76853,489,127700,854,1137,386,530,398,132
77853,565,94600,668,1205,453,439,368,71
78602,783,195400,1103,1467,578,9315,7282,2033
78605,622,163800,808,1324,388,1966,1693,273
78606,642,264500,884,1631,574,2031,1575,456
78609,669,160000,601,1414,391,825,633,192
78610,1152,255000,1723,1931,674,12584,9485,3099
78611,625,179500,822,1453,507,4468,3432,1036
78612,1117,163200,1018,1468,523,3893,3210,683
78613,1272,295000,1862,2110,777,26937,18709,8228
78615,675,178400,930,1470,521,331,257,74
78617,996,148300,1103,1391,493,6790,5280,1510
78618,710,326400,683,1542,500,130,111,19
78619,994,486600,1937,3034,796,1532,1343,189
78620,976,413300,1882,2557,830,6107,5249,858
78621,679,166300,1011,1387,508,6966,5299,1667
78624,837,294000,777,1639,563,9036,6419,2617
78626,1092,221900,1382,1631,618,11129,7422,3707
78628,1040,309800,1666,2178,747,12333,8830,3503
78631,784,227200,696,1494,382,1061,930,131
78633,1433,319500,1042,1867,729,11966,10893,1073
78634,1170,203900,1567,1681,667,10403,8580,1823
78636,746,262300,842,1520,605,1530,1143,387
78639,723,154700,816,1163,477,3389,2453,936
78640,1209,189100,1385,1579,565,18428,12991,5437
78641,1296,253600,1679,1893,729,21929,17744,4185
78642,679,280100,1464,2086,561,3812,3061,751
78643,535,171300,652,1199,436,2301,1806,495
78645,1115,252800,1270,1728,610,4550,3796,754
78650,568,155700,676,1109,514,535,414,121
78652,1401,306200,1551,1990,576,2138,1422,716
78653,1228,187700,1393,1558,559,7270,5997,1273
78654,701,207900,904,1489,550,7082,5044,2038
78657,918,314700,1043,1705,791,2720,2290,430
78659,555,181000,682,1539,466,942,806,136
78660,1254,232700,1603,1781,696,30885,22871,8014
78662,909,191900,714,1292,574,772,601,171
78664,1129,215800,1475,1629,662,20606,11385,9221
78665,1305,266400,1745,1920,838,14791,10429,4362
78666,918,172100,999,1470,514,29054,11368,17686
78669,781,449800,1980,2876,777,4667,4178,489
78671,720,156000,670,1253,518,323,188,135
78676,1064,296800,1176,1592,679,5312,4441,871
78681,1249,299700,1814,2121,806,17448,13305,4143
78701,2127,448100,2406,2797,1335,6395,2127,4268
78702,1019,399400,1433,2192,718,9713,4104,5609
78703,1353,849600,2816,3814,1426,9545,5213,4332
78704,1304,553300,2041,2813,1053,25071,8938,16133
78705,1225,431300,1558,2614,1159,8873,875,7998
78717,1264,369200,2250,2571,1105,10552,6061,4491
78719,807,144000,976,1262,560,428,351,77
78721,965,284400,1141,1444,585,4208,2222,1986
78722,1230,423100,1758,2007,871,3260,1432,1828
78723,959,338100,1607,1989,664,13527,6242,7285
78724,987,147400,1046,1342,625,6776,4407,2369
78725,1219,167700,1173,1422,493,2775,2309,466
78726,1119,473500,2556,2926,1111,5877,2427,3450
78727,1205,295200,1574,1872,768,13557,6391,7166
78729,1159,285500,1684,1880,676,11898,5090,6808
78730,1214,730800,3534,4001,1501,4059,2451,1608
78731,1178,636800,2352,3326,1182,12537,7270,5267
78732,1791,536800,2743,3142,1254,5867,4602,1265
78733,2012,623900,2428,3180,1268,2932,2612,320
78734,1698,421300,2070,2412,943,7751,6334,1417
78735,1410,496200,2564,2959,1181,7609,4001,3608
78736,1430,344200,1571,2541,639,3678,2759,919
78737,1568,454600,2567,2941,991,5621,5188,433
78738,1431,562800,2655,3141,1187,6216,4477,1739
78739,2279,467000,2491,2784,1049,6695,6366,329
78741,999,208300,1085,1568,477,21664,3388,18276
78744,975,164300,1098,1317,520,15493,6727,8766
78745,1167,279500,1329,1707,643,26756,12379,14377
78746,1455,903900,3034,4001,1501,10894,7562,3332
78747,1333,235600,1336,1519,715,6971,5312,1659
78748,1239,272100,1601,1733,673,20239,12294,7945
78749,1314,344700,1770,2043,868,15428,9837,5591
78750,1288,418900,1714,2375,1075,11858,7461,4397
78751,1244,483300,2270,2751,786,7911,2381,5530
78752,922,275500,1472,1792,576,8484,2179,6305
78753,932,199600,1283,1607,671,20552,7306,13246
78754,1116,223700,1612,1765,709,8816,4859,3957
78756,1167,537700,2056,2975,1138,4339,1883,2456
78757,1047,416300,1819,2312,796,10937,6012,4925
78758,1017,222400,1221,1545,577,20844,5823,15021
78759,1154,444100,1698,2573,917,20671,9572,11099
78942,661,125300,682,1288,497,2965,2098,867
78946,763,117600,553,1506,430,458,360,98
78947,616,192300,780,1545,453,1732,1550,182
78953,1315,161800,943,1264,393,377,304,73
