Zip Code,2018 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,523,117400,754,1093,481,6236,3836,2400
76502,930,159300,1122,1404,556,14826,9975,4851
76504,680,93100,689,1076,410,8929,3566,5363
76511,393,93100,537,1178,337,736,559,177
76513,668,167400,1023,1483,547,13268,8901,4367
76518,663,85900,406,1219,318,543,465,78
76520,476,91400,596,1029,472,2944,1963,981
76522,680,115100,954,1197,484,13561,7817,5744
76524,656,130800,915,1198,450,1038,918,120
76525,406,100300,483,1103,363,437,335,102
76527,609,168600,886,1362,520,1233,848,385
76528,552,107200,698,1150,371,6123,4432,1691
76530,518,146100,766,1309,504,740,543,197
76534,481,129800,833,1359,532,961,684,277
76537,927,166900,1249,1376,551,1805,1360,445
76538,746,122400,658,1159,396,303,220,83
76539,676,164900,1028,1430,510,3132,2743,389
76541,529,69300,583,904,394,7762,2164,5598
76542,871,147300,1205,1371,488,17384,9806,7578
76543,672,89400,829,1022,390,11899,4303,7596
76548,747,190200,1379,1677,549,10363,6319,4044
76549,884,133300,1140,1249,446,17267,8670,8597
76550,531,131800,725,1332,527,4950,3544,1406
76554,648,119000,819,1019,396,714,523,191
76556,405,100600,495,1104,402,542,452,90
76557,506,133900,609,1219,421,1854,1543,311
76559,703,134300,1127,1319,336,2062,1125,937
76561,521,82700,613,878,373,400,298,102
76567,554,99000,668,1023,427,3723,2256,1467
76569,658,85600,771,1153,472,792,604,188
76570,433,61300,427,1177,350,848,668,180
76571,657,279900,1319,1899,601,2693,2251,442
76574,705,152600,980,1364,561,6531,4284,2247
76577,576,147100,590,1467,374,1194,898,296
76578,673,162900,783,1341,515,456,379,77
76579,774,116600,670,1096,407,1524,1172,352
76624,615,110300,650,1206,384,734,535,199
76630,653,132900,1029,1406,481,390,344,46
76632,831,73400,462,1134,385,531,429,102
76633,679,197800,1109,1673,560,1867,1637,230
76638,619,220400,904,1843,540,1125,957,168
76640,686,79400,687,1032,411,1220,865,355
76643,904,159600,1085,1479,603,5164,3813,1351
76655,763,174600,1297,1704,511,3024,2550,474
76656,383,121400,666,1309,374,722,575,147
76657,706,186400,1161,1675,537,3443,2425,1018
76661,325,54200,547,957,383,2293,1420,873
76664,554,88100,698,1151,436,1262,953,309
76682,688,93100,580,1098,397,1020,762,258
76691,603,115200,697,1225,456,2366,1819,547
76701,778,233800,1505,1712,545,724,143,581
76704,496,83900,498,978,378,3173,1068,2105
76705,590,95300,773,1072,421,10477,6051,4426
76706,710,111400,802,1323,491,13206,5207,7999
76707,583,71700,642,932,376,5015,2367,2648
76708,673,132500,933,1300,462,9550,5712,3838
76710,675,130500,935,1298,557,10653,5212,5441
76711,683,64300,591,836,382,3265,1729,1536
76712,794,195600,1282,1578,692,9922,6939,2983
76853,464,89600,794,1170,383,530,411,119
77853,550,96900,640,1263,506,459,388,71
78602,744,173000,1081,1432,600,8931,6787,2144
78605,548,152500,806,1330,410,1991,1674,317
78606,642,228600,875,1689,550,2029,1618,411
78609,592,129500,575,1182,410,877,679,198
78610,1034,241500,1706,1866,640,12084,9203,2881
78611,615,167100,787,1409,474,4743,3473,1270
78612,1019,157300,1043,1562,503,3919,3299,620
78613,1205,275900,1822,2018,746,26122,18193,7929
78615,675,170000,1005,1362,545,398,314,84
78617,977,137400,1063,1374,472,6501,4986,1515
78618,720,313500,600,1575,483,127,112,15
78619,1276,465500,2090,2793,817,1556,1440,116
78620,886,382900,1863,2518,756,5805,5014,791
78621,662,156100,1031,1377,473,6957,5235,1722
78624,757,286600,783,1650,550,8978,6322,2656
78626,924,209500,1307,1549,591,10458,7055,3403
78628,961,287500,1564,2020,712,11546,8199,3347
78631,785,221100,631,1470,347,1084,901,183
78633,1515,299200,1039,1791,688,11702,10896,806
78634,1153,189600,1481,1600,635,9300,7549,1751
78636,716,238200,819,1416,578,1571,1151,420
78639,641,126800,779,1170,434,3306,2492,814
78640,1178,174800,1332,1522,557,17378,12415,4963
78641,1231,236400,1606,1797,680,20060,16377,3683
78642,697,283100,1588,2074,582,3639,3164,475
78643,558,171200,660,1259,414,2253,1777,476
78645,889,237100,1231,1662,600,4634,3749,885
78650,579,157100,788,1167,535,506,376,130
78652,1242,280100,1463,1823,555,2169,1369,800
78653,1099,168300,1288,1439,512,6846,5772,1074
78654,691,197000,894,1496,517,6978,4959,2019
78657,907,320800,1052,1741,801,2565,2194,371
78659,568,147300,718,1089,457,970,893,77
78660,1202,214600,1533,1700,691,29945,22182,7763
78662,741,171100,709,1296,533,863,741,122
78664,1058,193900,1397,1533,662,20075,11105,8970
78665,1245,252000,1728,1889,850,14639,10610,4029
78666,880,159500,954,1410,487,28183,10278,17905
78669,838,455600,1945,2730,756,4459,3912,547
78676,1075,257700,1056,1456,657,5476,4588,888
78681,1214,281200,1760,2067,828,17105,13118,3987
78701,1873,435400,2291,2680,1335,5571,1956,3615
78702,962,361500,1307,1945,629,9287,4188,5099
