Zip Code,2018 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
78703,1337,822800,2822,3741,1501,9479,5134,4345
78704,1203,500600,1895,2618,1019,24115,8530,15585
78705,1176,444700,1524,2788,1095,8559,902,7657
78717,1201,347900,2139,2444,1019,10347,6128,4219
78719,686,131800,955,1261,625,447,338,109
78721,902,245500,993,1337,578,4278,2273,2005
78722,1194,382700,1631,1934,799,3107,1385,1722
78723,893,300600,1486,1892,633,13000,5890,7110
78724,933,133400,1042,1294,557,6458,3978,2480
78725,1247,160200,1199,1370,455,2620,2155,465
78726,1064,447400,2489,2756,956,5520,2456,3064
78727,1141,271200,1554,1796,739,13242,6546,6696
78729,1086,261800,1559,1782,635,12483,5292,7191
78730,1219,700300,3137,4001,1501,3810,2283,1527
78731,1150,606000,2327,3109,1160,12458,7251,5207
78732,1456,519100,2791,3266,1297,5831,4403,1428
78733,1720,579500,2401,3193,1051,2923,2594,329
78734,1540,406800,2070,2432,887,7424,5971,1453
78735,1312,482400,2561,2847,1186,7352,3760,3592
78736,1327,330000,1602,2278,654,3278,2624,654
78737,1409,428000,2471,2861,912,5341,4889,452
78738,1408,553000,2706,3158,1186,5977,4333,1644
78739,2240,447500,2412,2720,1027,6476,6127,349
78741,932,194000,997,1546,491,21474,3309,18165
78744,942,138500,1029,1271,475,14857,6783,8074
78745,1115,255200,1279,1628,624,26330,11701,14629
78746,1389,851900,3015,3948,1501,10867,7516,3351
78747,1253,222700,1332,1479,714,6558,4978,1580
78748,1229,256200,1565,1703,632,19385,11720,7665
78749,1266,322400,1721,1984,804,15428,9615,5813
78750,1218,388900,1683,2264,980,11724,7381,4343
78751,1200,450000,2068,2540,750,7605,2297,5308
78752,877,253800,1539,1770,593,8188,2237,5951
78753,876,177300,1255,1505,635,20121,7309,12812
78754,1042,211000,1553,1713,704,8192,4255,3937
78756,1146,493200,1979,2630,889,4336,2026,2310
78757,998,389000,1706,2223,779,10720,5789,4931
78758,965,202200,1151,1446,567,19976,5761,14215
78759,1119,414600,1736,2472,887,20454,9308,11146
78942,653,115400,664,1296,468,2979,2068,911
78946,743,166100,605,1427,544,484,353,131
78947,531,166400,759,1457,440,1715,1482,233
78953,1118,151900,929,1113,374,400,327,73
