Zip Code,2022 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,675,147700,882,1320,510,6600,4313,2287
76502,1091,222600,1315,1646,636,17425,11352,6073
76504,836,142600,955,1313,490,9990,3177,6813
76511,375,150200,837,1260,555,895,725,170
76513,961,235500,1274,1788,608,14872,10069,4803
76518,488,160700,544,1453,434,524,404,120
76520,652,135000,725,1200,494,2731,2005,726
76522,778,153000,1079,1389,543,15716,9399,6317
76524,778,176800,1104,1478,527,1452,1181,271
76525,552,142600,621,1236,449,495,374,121
76527,553,374400,1440,2043,656,1501,1108,393
76528,657,157900,741,1421,472,6592,4591,2001
76530,555,201200,981,1629,588,963,816,147
76534,582,185000,1155,1457,577,1065,814,251
76537,1367,251900,1781,1867,627,3951,3225,726
76539,702,237200,1321,1642,619,3124,2886,238
76541,635,87400,567,1092,405,8321,1996,6325
76542,1006,210900,1394,1590,569,18996,11639,7357
76543,838,123100,841,1214,460,13081,4971,8110
76548,800,239400,1624,1828,683,11655,6516,5139
76549,999,185600,1220,1482,516,19398,10059,9339
76550,632,218300,968,1497,698,5050,3817,1233
76554,793,158000,940,1239,514,807,616,191
76557,792,168800,786,1705,387,1805,1383,422
76559,762,171600,1399,1499,344,2319,1529,790
76561,518,136000,874,1257,566,427,325,102
76567,704,152500,784,1516,530,3668,2659,1009
76569,697,102700,757,1223,389,991,833,158
76570,570,79300,531,1769,371,861,692,169
76571,981,351300,1326,2154,769,3555,3073,482
76574,815,235100,1257,1699,681,7686,5648,2038
76577,623,134100,834,1279,401,1262,966,296
76578,738,235700,1048,1602,690,460,364,96
76579,780,189700,1126,1473,593,1713,1072,641
76624,625,126600,709,1421,524,918,832,86
76630,795,226900,1305,1792,461,804,695,109
76632,553,126500,509,1556,397,577,473,104
76633,1149,300200,1182,2002,697,1996,1787,209
76638,925,328700,1409,2438,819,1023,959,64
76640,545,162100,870,1183,449,1091,827,264
76643,1087,233700,1236,1671,691,5955,3953,2002
76655,1072,259600,1541,1868,733,3048,2710,338
76656,640,106200,763,1390,373,909,695,214
76657,857,341700,1547,2345,832,4048,3079,969
76661,340,78200,497,938,436,1988,1417,571
76664,622,120100,766,1356,557,1216,912,304
76682,873,136600,734,1479,491,1124,933,191
76691,691,213300,907,1919,566,2345,1849,496
76704,569,105200,736,1130,500,3250,1060,2190
76705,716,152000,842,1250,528,10811,6384,4427
76706,873,162900,851,1743,589,14397,5390,9007
76707,713,99500,698,1092,494,5656,3182,2474
76708,828,182400,1052,1599,593,9523,6170,3353
76710,868,202900,1036,1638,673,10762,5096,5666
76711,1176,90500,609,1158,428,3814,1982,1832
76712,1066,277900,1539,1893,809,10732,7378,3354
76853,468,225000,697,1467,543,551,430,121
77853,621,116400,578,1557,494,392,335,57
78602,1077,248700,1253,1715,643,12244,9144,3100
