Zip Code,2022 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
78605,808,189800,927,1950,345,2643,2397,246
78606,580,326200,1443,1865,638,2650,2090,560
78609,836,260600,778,1641,576,819,676,143
78610,1369,346700,1876,2178,869,16017,12606,3411
78611,937,258700,968,1831,614,5318,4299,1019
78612,1252,217400,1164,1756,608,5381,4642,739
78613,1485,416000,2122,2451,927,33717,21834,11883
78615,742,265700,1354,1653,812,528,397,131
78617,1174,222100,1045,1610,618,8116,6528,1588
78618,863,335600,600,1663,552,139,120,19
78619,1224,655500,2141,3208,997,2104,1914,190
78620,1327,585300,2049,2703,1117,7000,6020,980
78621,944,247900,1237,1796,676,8747,6968,1779
78624,1110,404600,1022,1939,685,9698,6720,2978
78626,1445,324300,1736,1997,730,13927,9070,4857
78628,1229,419900,2086,2488,948,15543,12012,3531
78631,875,310200,892,1773,470,1021,832,189
78633,1665,400400,1328,2217,868,13531,12393,1138
78634,1595,289800,1850,1971,814,14077,11432,2645
78636,850,349500,915,1688,607,1669,1180,489
78639,806,236300,919,1341,614,3495,2726,769
78640,1386,259900,1561,1824,694,22797,16113,6684
78641,1571,395700,2054,2392,907,29559,23731,5828
78642,1117,454600,2088,2549,882,6877,5880,997
78643,791,273600,918,1485,530,3008,2206,802
78645,857,367500,1574,2268,802,6187,5463,724
78652,2149,435300,1958,2421,629,1796,1579,217
78653,1430,288500,1671,1837,691,10029,8789,1240
78654,1076,294800,1038,1787,665,7344,5187,2157
78657,1210,409300,1275,1886,808,3090,2670,420
78660,1480,335500,1904,2167,852,39826,27929,11897
78664,1343,281800,1695,1891,816,23021,12576,10445
78665,1580,381300,2176,2434,889,22105,14523,7582
78666,1105,248700,1236,1699,604,33173,12400,20773
78669,1069,548300,2136,2853,925,4256,3841,415
78676,1042,434100,1490,2200,883,6345,5051,1294
78681,1552,418900,2035,2553,912,20005,14842,5163
78701,2368,609800,3276,3603,1501,6667,3294,3373
78702,1630,569700,2075,2724,961,12349,5200,7149
78703,2051,1194200,3597,4001,1501,11272,5651,5621
78704,1520,721200,2469,3355,1387,27465,8730,18735
78705,1375,493900,1571,2192,1092,10053,1196,8857
78717,1505,532400,2682,3161,1157,13022,7325,5697
78721,1473,436900,1757,2327,676,4237,2128,2109
78722,1473,622900,2556,3138,952,3136,1520,1616
78723,1224,456100,2035,2456,888,15420,7500,7920
78724,1167,224200,1143,1613,681,8446,5601,2845
78725,1731,266000,1514,1749,828,3807,3243,564
78726,1426,592500,2896,3386,1166,6123,2707,3416
78727,1530,417300,1815,2280,894,13624,6057,7567
78729,1352,381600,1947,2215,836,14597,6169,8428
78730,1380,929500,3475,4001,1501,4149,2691,1458
78731,1364,778000,2447,3876,1282,13432,7363,6069
78732,1468,666800,3172,3676,1383,7062,5042,2020
78733,2513,859100,2943,3670,1497,3069,2737,332
78734,1717,571100,2255,2878,1153,9362,7681,1681
78735,1713,741000,3056,3544,1266,9116,4223,4893
78736,1654,493800,1880,2637,780,3979,2804,1175
78737,2039,628800,2905,3363,1104,7729,6857,872
78738,1810,691400,2951,3471,1451,11128,8543,2585
78739,2869,644200,2778,3282,1211,6775,6165,610
78741,1228,325200,1397,2263,599,22410,4147,18263
78744,1247,265900,1434,1712,616,18012,9144,8868
78745,1399,398200,1716,2097,763,29030,13936,15094
78746,1786,1209300,3509,4001,1501,10904,7282,3622
78747,1496,318700,1517,1813,755,7959,5789,2170
78748,1487,385300,1905,2144,824,23542,13097,10445
78749,1589,474900,1926,2339,940,15459,9732,5727
78750,1526,531700,1897,2725,1208,11391,7184,4207
78751,1448,626600,2428,3323,1207,8982,1977,7005
78752,1185,330500,1502,2044,636,10322,2160,8162
78753,1145,302200,1505,1944,757,23524,7902,15622
78754,1340,288100,1872,2086,788,11885,7279,4606
78756,1224,720100,2391,3413,1442,4558,2016,2542
78757,1300,598900,2098,2915,993,11362,6705,4657
78758,1300,361900,1564,1955,738,23625,6251,17374
78759,1384,587700,2063,2837,1038,22112,10511,11601
78942,794,180500,922,1768,484,3442,2463,979
78946,846,164200,466,1635,403,437,257,180
78947,694,235300,986,1592,554,1799,1552,247
78948,529,238600,863,1681,533,247,172,75
78953,1341,264100,1087,1397,738,594,406,188
