,Zip Code,2018 Total Units,2018 Number Owned,2018 Number Rented
1,76501,6236,3836,2400
2,76502,14826,9975,4851
3,76504,8929,3566,5363
4,76511,736,559,177
5,76513,13268,8901,4367
6,76518,543,465,78
7,76519,115,106,9
8,76520,2944,1963,981
9,76522,13561,7817,5744
10,76524,1038,918,120
11,76525,437,335,102
12,76527,1233,848,385
13,76528,6123,4432,1691
14,76530,740,543,197
15,76534,961,684,277
16,76537,1805,1360,445
17,76538,303,220,83
18,76539,3132,2743,389
19,76541,7762,2164,5598
20,76542,17384,9806,7578
21,76543,11899,4303,7596
22,76544,3793,42,3751
23,76548,10363,6319,4044
24,76549,17267,8670,8597
25,76550,4950,3544,1406
26,76554,714,523,191
27,76556,542,452,90
28,76557,1854,1543,311
29,76559,2062,1125,937
30,76561,400,298,102
31,76566,124,87,37
32,76567,3723,2256,1467
33,76569,792,604,188
34,76570,848,668,180
35,76571,2693,2251,442
36,76574,6531,4284,2247
37,76577,1194,898,296
38,76578,456,379,77
39,76579,1524,1172,352
40,76624,734,535,199
41,76630,390,344,46
42,76632,531,429,102
43,76633,1867,1637,230
44,76638,1125,957,168
45,76640,1220,865,355
46,76643,5164,3813,1351
47,76655,3024,2550,474
48,76656,722,575,147
49,76657,3443,2425,1018
50,76661,2293,1420,873
51,76664,1262,953,309
52,76680,99,99,0
53,76682,1020,762,258
54,76685,20,6,14
55,76691,2366,1819,547
56,76701,724,143,581
57,76704,3173,1068,2105
58,76705,10477,6051,4426
59,76706,13206,5207,7999
60,76707,5015,2367,2648
61,76708,9550,5712,3838
62,76710,10653,5212,5441
63,76711,3265,1729,1536
64,76712,9922,6939,2983
65,76798,0,0,0
66,76831,19,19,0
67,76853,530,411,119
68,76885,101,91,10
69,77853,459,388,71
70,78602,8931,6787,2144
71,78605,1991,1674,317
72,78606,2029,1618,411
73,78607,32,24,8
74,78608,192,118,74
75,78609,877,679,198
76,78610,12084,9203,2881
77,78611,4743,3473,1270
78,78612,3919,3299,620
79,78613,26122,18193,7929
80,78615,398,314,84
81,78617,6501,4986,1515
82,78618,127,112,15
83,78619,1556,1440,116
84,78620,5805,5014,791
85,78621,6957,5235,1722
86,78624,8978,6322,2656
87,78626,10458,7055,3403
88,78628,11546,8199,3347
89,78631,1084,901,183
90,78633,11702,10896,806
91,78634,9300,7549,1751
92,78635,128,94,34
93,78636,1571,1151,420
94,78639,3306,2492,814
95,78640,17378,12415,4963
96,78641,20060,16377,3683
97,78642,3639,3164,475
98,78643,2253,1777,476
99,78645,4634,3749,885
100,78650,506,376,130
101,78652,2169,1369,800
102,78653,6846,5772,1074
103,78654,6978,4959,2019
104,78657,2565,2194,371
105,78659,970,893,77
106,78660,29945,22182,7763
107,78662,863,741,122
108,78663,340,287,53
109,78664,20075,11105,8970
110,78665,14639,10610,4029
111,78666,28183,10278,17905
112,78669,4459,3912,547
113,78671,354,325,29
114,78672,571,519,52
115,78675,137,126,11
116,78676,5476,4588,888
117,78681,17105,13118,3987
118,78701,5571,1956,3615
119,78702,9287,4188,5099
120,78703,9479,5134,4345
121,78704,24115,8530,15585
122,78705,8559,902,7657
123,78712,0,0,0
124,78717,10347,6128,4219
125,78719,447,338,109
126,78721,4278,2273,2005
127,78722,3107,1385,1722
128,78723,13000,5890,7110
129,78724,6458,3978,2480
130,78725,2620,2155,465
131,78726,5520,2456,3064
132,78727,13242,6546,6696
133,78729,12483,5292,7191
134,78730,3810,2283,1527
135,78731,12458,7251,5207
136,78732,5831,4403,1428
137,78733,2923,2594,329
138,78734,7424,5971,1453
139,78735,7352,3760,3592
140,78736,3278,2624,654
141,78737,5341,4889,452
142,78738,5977,4333,1644
143,78739,6476,6127,349
144,78741,21474,3309,18165
145,78742,256,148,108
146,78744,14857,6783,8074
147,78745,26330,11701,14629
148,78746,10867,7516,3351
149,78747,6558,4978,1580
150,78748,19385,11720,7665
151,78749,15428,9615,5813
152,78750,11724,7381,4343
153,78751,7605,2297,5308
154,78752,8188,2237,5951
155,78753,20121,7309,12812
156,78754,8192,4255,3937
157,78756,4336,2026,2310
158,78757,10720,5789,4931
159,78758,19976,5761,14215
160,78759,20454,9308,11146
161,78942,2979,2068,911
162,78946,484,353,131
163,78947,1715,1482,233
164,78948,303,272,31
165,78953,400,327,73
