,Zip Code,2022 Total Units,2022 Number Owned,2022 Number Rented
1,76501,6600,4313,2287
2,76502,17425,11352,6073
3,76504,9990,3177,6813
4,76511,895,725,170
5,76513,14872,10069,4803
6,76518,524,404,120
7,76519,177,177,0
8,76520,2731,2005,726
9,76522,15716,9399,6317
10,76524,1452,1181,271
11,76525,495,374,121
12,76527,1501,1108,393
13,76528,6592,4591,2001
14,76530,963,816,147
15,76534,1065,814,251
16,76537,3951,3225,726
17,76538,496,423,73
18,76539,3124,2886,238
19,76541,8321,1996,6325
20,76542,18996,11639,7357
21,76543,13081,4971,8110
22,76544,4207,25,4182
23,76548,11655,6516,5139
24,76549,19398,10059,9339
25,76550,5050,3817,1233
26,76554,807,616,191
27,76556,735,668,67
28,76557,1805,1383,422
29,76559,2319,1529,790
30,76561,427,325,102
31,76566,120,116,4
32,76567,3668,2659,1009
33,76569,991,833,158
34,76570,861,692,169
35,76571,3555,3073,482
36,76574,7686,5648,2038
37,76577,1262,966,296
38,76578,460,364,96
39,76579,1713,1072,641
40,76624,918,832,86
41,76630,804,695,109
42,76632,577,473,104
43,76633,1996,1787,209
44,76638,1023,959,64
45,76640,1091,827,264
46,76643,5955,3953,2002
47,76655,3048,2710,338
48,76656,909,695,214
49,76657,4048,3079,969
50,76661,1988,1417,571
51,76664,1216,912,304
52,76680,51,51,0
53,76682,1124,933,191
54,76685,31,31,0
55,76691,2345,1849,496
56,76701,826,152,674
57,76704,3250,1060,2190
58,76705,10811,6384,4427
59,76706,14397,5390,9007
60,76707,5656,3182,2474
61,76708,9523,6170,3353
62,76710,10762,5096,5666
63,76711,3814,1982,1832
64,76712,10732,7378,3354
65,76798,0,0,0
66,76831,0,0,0
67,76853,551,430,121
68,76885,19,7,12
69,77853,392,335,57
70,78602,12244,9144,3100
71,78605,2643,2397,246
72,78606,2650,2090,560
73,78607,71,54,17
74,78608,124,105,19
75,78609,819,676,143
76,78610,16017,12606,3411
77,78611,5318,4299,1019
78,78612,5381,4642,739
79,78613,33717,21834,11883
80,78615,528,397,131
81,78617,8116,6528,1588
82,78618,139,120,19
83,78619,2104,1914,190
84,78620,7000,6020,980
85,78621,8747,6968,1779
86,78624,9698,6720,2978
87,78626,13927,9070,4857
88,78628,15543,12012,3531
89,78631,1021,832,189
90,78633,13531,12393,1138
91,78634,14077,11432,2645
92,78635,34,34,0
93,78636,1669,1180,489
94,78639,3495,2726,769
95,78640,22797,16113,6684
96,78641,29559,23731,5828
97,78642,6877,5880,997
98,78643,3008,2206,802
99,78645,6187,5463,724
100,78650,859,788,71
101,78652,1796,1579,217
102,78653,10029,8789,1240
103,78654,7344,5187,2157
104,78657,3090,2670,420
105,78659,1107,1022,85
106,78660,39826,27929,11897
107,78662,1289,900,389
108,78663,316,283,33
109,78664,23021,12576,10445
110,78665,22105,14523,7582
111,78666,33173,12400,20773
112,78669,4256,3841,415
113,78671,340,208,132
114,78672,349,320,29
115,78675,45,45,0
116,78676,6345,5051,1294
117,78681,20005,14842,5163
118,78701,6667,3294,3373
119,78702,12349,5200,7149
120,78703,11272,5651,5621
121,78704,27465,8730,18735
122,78705,10053,1196,8857
123,78712,0,0,0
124,78717,13022,7325,5697
125,78719,528,497,31
126,78721,4237,2128,2109
127,78722,3136,1520,1616
128,78723,15420,7500,7920
129,78724,8446,5601,2845
130,78725,3807,3243,564
131,78726,6123,2707,3416
132,78727,13624,6057,7567
133,78729,14597,6169,8428
134,78730,4149,2691,1458
135,78731,13432,7363,6069
136,78732,7062,5042,2020
137,78733,3069,2737,332
138,78734,9362,7681,1681
139,78735,9116,4223,4893
140,78736,3979,2804,1175
141,78737,7729,6857,872
142,78738,11128,8543,2585
143,78739,6775,6165,610
144,78741,22410,4147,18263
145,78742,378,259,119
146,78744,18012,9144,8868
147,78745,29030,13936,15094
148,78746,10904,7282,3622
149,78747,7959,5789,2170
150,78748,23542,13097,10445
151,78749,15459,9732,5727
152,78750,11391,7184,4207
153,78751,8982,1977,7005
154,78752,10322,2160,8162
155,78753,23524,7902,15622
156,78754,11885,7279,4606
157,78756,4558,2016,2542
158,78757,11362,6705,4657
159,78758,23625,6251,17374
160,78759,22112,10511,11601
161,78942,3442,2463,979
162,78946,437,257,180
163,78947,1799,1552,247
164,78948,247,172,75
165,78953,594,406,188
