,Zip Code,2020 Median Cost
1,76501,120600
2,76502,166500
3,76504,98500
4,76511,101700
5,76513,179300
6,76518,96800
7,76519,140800
8,76520,99800
9,76522,121100
10,76524,158300
11,76525,97900
12,76527,289300
13,76528,130600
14,76530,152400
15,76534,159100
16,76537,188800
17,76538,120800
18,76539,198400
19,76541,71600
20,76542,161800
21,76543,96900
22,76544,-666666666
23,76548,200900
24,76549,146400
25,76550,158200
26,76554,133200
27,76556,103800
28,76557,170500
29,76559,141400
30,76561,97000
31,76566,185000
32,76567,115800
33,76569,77900
34,76570,72000
35,76571,283700
36,76574,174800
37,76577,152400
38,76578,163500
39,76579,137600
40,76624,102700
41,76630,120700
42,76632,102200
43,76633,236000
44,76638,243000
45,76640,88800
46,76643,174900
47,76655,198100
48,76656,108100
49,76657,253000
50,76661,47700
51,76664,99800
52,76680,-666666666
53,76682,106300
54,76685,-666666666
55,76691,141300
56,76701,153000
57,76704,102700
58,76705,109900
59,76706,127000
60,76707,81200
61,76708,139700
62,76710,151900
63,76711,72500
64,76712,218600
65,76798,-666666666
66,76831,-666666666
67,76853,161500
68,76885,-666666666
69,77853,118800
70,78602,209200
71,78605,151400
72,78606,273000
73,78607,356300
74,78608,221500
75,78609,182100
76,78610,274800
77,78611,195100
78,78612,191000
79,78613,318400
80,78615,210900
81,78617,178100
82,78618,312800
83,78619,521100
84,78620,430300
85,78621,187400
86,78624,317200
87,78626,247700
88,78628,329200
89,78631,237200
90,78633,333300
91,78634,224000
92,78635,-666666666
93,78636,259100
94,78639,192200
95,78640,203400
96,78641,281700
97,78642,313000
98,78643,227700
99,78645,293900
100,78650,191700
101,78652,320100
102,78653,219800
103,78654,226200
104,78657,321100
105,78659,259000
106,78660,254400
107,78662,211600
108,78663,-666666666
109,78664,231800
110,78665,286300
111,78666,186400
112,78669,447700
113,78671,162000
114,78672,132100
115,78675,-666666666
116,78676,355400
117,78681,320200
118,78701,498400
119,78702,449400
120,78703,980500
121,78704,596200
122,78705,405800
123,78712,-666666666
124,78717,390000
125,78719,153600
126,78721,321900
127,78722,442300
128,78723,371200
129,78724,150400
130,78725,190600
131,78726,468900
132,78727,320000
133,78729,310800
134,78730,761700
135,78731,642300
136,78732,546400
137,78733,684400
138,78734,436800
139,78735,555300
140,78736,368000
141,78737,482000
142,78738,568600
143,78739,493600
144,78741,250500
145,78742,-666666666
146,78744,196700
147,78745,307700
148,78746,936000
149,78747,247200
150,78748,297600
151,78749,363600
152,78750,409800
153,78751,482100
154,78752,292500
155,78753,218100
156,78754,245300
157,78756,562300
158,78757,447000
159,78758,261300
160,78759,459600
161,78942,150400
162,78946,123000
163,78947,210100
164,78948,357100
165,78953,161000
