,Zip Code,2018 Median Cost
1,76501,117400
2,76502,159300
3,76504,93100
4,76511,93100
5,76513,167400
6,76518,85900
7,76519,201200
8,76520,91400
9,76522,115100
10,76524,130800
11,76525,100300
12,76527,168600
13,76528,107200
14,76530,146100
15,76534,129800
16,76537,166900
17,76538,122400
18,76539,164900
19,76541,69300
20,76542,147300
21,76543,89400
22,76544,84400
23,76548,190200
24,76549,133300
25,76550,131800
26,76554,119000
27,76556,100600
28,76557,133900
29,76559,134300
30,76561,82700
31,76566,184400
32,76567,99000
33,76569,85600
34,76570,61300
35,76571,279900
36,76574,152600
37,76577,147100
38,76578,162900
39,76579,116600
40,76624,110300
41,76630,132900
42,76632,73400
43,76633,197800
44,76638,220400
45,76640,79400
46,76643,159600
47,76655,174600
48,76656,121400
49,76657,186400
50,76661,54200
51,76664,88100
52,76680,63500
53,76682,93100
54,76685,-666666666
55,76691,115200
56,76701,233800
57,76704,83900
58,76705,95300
59,76706,111400
60,76707,71700
61,76708,132500
62,76710,130500
63,76711,64300
64,76712,195600
65,76798,-666666666
66,76831,-666666666
67,76853,89600
68,76885,330000
69,77853,96900
70,78602,173000
71,78605,152500
72,78606,228600
73,78607,-666666666
74,78608,206400
75,78609,129500
76,78610,241500
77,78611,167100
78,78612,157300
79,78613,275900
80,78615,170000
81,78617,137400
82,78618,313500
83,78619,465500
84,78620,382900
85,78621,156100
86,78624,286600
87,78626,209500
88,78628,287500
89,78631,221100
90,78633,299200
91,78634,189600
92,78635,369100
93,78636,238200
94,78639,126800
95,78640,174800
96,78641,236400
97,78642,283100
98,78643,171200
99,78645,237100
100,78650,157100
101,78652,280100
102,78653,168300
103,78654,197000
104,78657,320800
105,78659,147300
106,78660,214600
107,78662,171100
108,78663,-666666666
109,78664,193900
110,78665,252000
111,78666,159500
112,78669,455600
113,78671,158300
114,78672,129900
115,78675,-666666666
116,78676,257700
117,78681,281200
118,78701,435400
119,78702,361500
120,78703,822800
121,78704,500600
122,78705,444700
123,78712,-666666666
124,78717,347900
125,78719,131800
126,78721,245500
127,78722,382700
128,78723,300600
129,78724,133400
130,78725,160200
131,78726,447400
132,78727,271200
133,78729,261800
134,78730,700300
135,78731,606000
136,78732,519100
137,78733,579500
138,78734,406800
139,78735,482400
140,78736,330000
141,78737,428000
142,78738,553000
143,78739,447500
144,78741,194000
145,78742,58300
146,78744,138500
147,78745,255200
148,78746,851900
149,78747,222700
150,78748,256200
151,78749,322400
152,78750,388900
153,78751,450000
154,78752,253800
155,78753,177300
156,78754,211000
157,78756,493200
158,78757,389000
159,78758,202200
160,78759,414600
161,78942,115400
162,78946,166100
163,78947,166400
164,78948,221400
165,78953,151900
