,Zip Code,2021 Median Cost
1,76501,120400
2,76502,183700
3,76504,114400
4,76511,120600
5,76513,189700
6,76518,145000
7,76519,-666666666
8,76520,113300
9,76522,132400
10,76524,162400
11,76525,115000
12,76527,306900
13,76528,134400
14,76530,171900
15,76534,168900
16,76537,205600
17,76538,125800
18,76539,200900
19,76541,76400
20,76542,170500
21,76543,102400
22,76544,-666666666
23,76548,206300
24,76549,161200
25,76550,167200
26,76554,145600
27,76556,104000
28,76557,161800
29,76559,153100
30,76561,111100
31,76566,235000
32,76567,128200
33,76569,94700
34,76570,69500
35,76571,295500
36,76574,192500
37,76577,144700
38,76578,209700
39,76579,146500
40,76624,129300
41,76630,205400
42,76632,87700
43,76633,250400
44,76638,264400
45,76640,125400
46,76643,188700
47,76655,224400
48,76656,102100
49,76657,306500
50,76661,48400
51,76664,106100
52,76680,-666666666
53,76682,111800
54,76685,-666666666
55,76691,158400
56,76701,115000
57,76704,106900
58,76705,125900
59,76706,137900
60,76707,85600
61,76708,154500
62,76710,171700
63,76711,78700
64,76712,231800
65,76798,-666666666
66,76831,-666666666
67,76853,164800
68,76885,86100
69,77853,109500
70,78602,221700
71,78605,173000
72,78606,303400
73,78607,336800
74,78608,222700
75,78609,189000
76,78610,284100
77,78611,214000
78,78612,195400
79,78613,339400
80,78615,213000
81,78617,189700
82,78618,328200
83,78619,572800
84,78620,467300
85,78621,203700
86,78624,329800
87,78626,265500
88,78628,355200
89,78631,233800
90,78633,353400
91,78634,237800
92,78635,-666666666
93,78636,288400
94,78639,198300
95,78640,212300
96,78641,311600
97,78642,385600
98,78643,248700
99,78645,312800
100,78650,222000
101,78652,355400
102,78653,221400
103,78654,243800
104,78657,329500
105,78659,221600
106,78660,276400
107,78662,192900
108,78663,255400
109,78664,240700
110,78665,324000
111,78666,202500
112,78669,460100
113,78671,160800
114,78672,169400
115,78675,-666666666
116,78676,359800
117,78681,346200
118,78701,517300
119,78702,470900
120,78703,1023800
121,78704,632100
122,78705,432300
123,78712,-666666666
124,78717,425500
125,78719,117500
126,78721,348100
127,78722,488900
128,78723,387400
129,78724,162000
130,78725,208800
131,78726,497400
132,78727,340900
133,78729,334600
134,78730,805400
135,78731,674600
136,78732,570500
137,78733,719100
138,78734,467100
139,78735,632800
140,78736,394600
141,78737,515300
142,78738,595500
143,78739,538600
144,78741,271000
145,78742,-666666666
146,78744,213600
147,78745,339100
148,78746,1016800
149,78747,257200
150,78748,325200
151,78749,394500
152,78750,440800
153,78751,525000
154,78752,275200
155,78753,242800
156,78754,247000
157,78756,599500
158,78757,481100
159,78758,295700
160,78759,485800
161,78942,168700
162,78946,176100
163,78947,224700
164,78948,269800
165,78953,-666666666
