,Zip Code,2022 Median Cost
1,76501,147700
2,76502,222600
3,76504,142600
4,76511,150200
5,76513,235500
6,76518,160700
7,76519,171900
8,76520,135000
9,76522,153000
10,76524,176800
11,76525,142600
12,76527,374400
13,76528,157900
14,76530,201200
15,76534,185000
16,76537,251900
17,76538,123200
18,76539,237200
19,76541,87400
20,76542,210900
21,76543,123100
22,76544,9999
23,76548,239400
24,76549,185600
25,76550,218300
26,76554,158000
27,76556,156600
28,76557,168800
29,76559,171600
30,76561,136000
31,76566,250000
32,76567,152500
33,76569,102700
34,76570,79300
35,76571,351300
36,76574,235100
37,76577,134100
38,76578,235700
39,76579,189700
40,76624,126600
41,76630,226900
42,76632,126500
43,76633,300200
44,76638,328700
45,76640,162100
46,76643,233700
47,76655,259600
48,76656,106200
49,76657,341700
50,76661,78200
51,76664,120100
52,76680,29400
53,76682,136600
54,76685,-666666666
55,76691,213300
56,76701,100000
57,76704,105200
58,76705,152000
59,76706,162900
60,76707,99500
61,76708,182400
62,76710,202900
63,76711,90500
64,76712,277900
65,76798,-666666666
66,76831,-666666666
67,76853,225000
68,76885,-666666666
69,77853,116400
70,78602,248700
71,78605,189800
72,78606,326200
73,78607,356300
74,78608,265000
75,78609,260600
76,78610,346700
77,78611,258700
78,78612,217400
79,78613,416000
80,78615,265700
81,78617,222100
82,78618,335600
83,78619,655500
84,78620,585300
85,78621,247900
86,78624,404600
87,78626,324300
88,78628,419900
89,78631,310200
90,78633,400400
91,78634,289800
92,78635,-666666666
93,78636,349500
94,78639,236300
95,78640,259900
96,78641,395700
97,78642,454600
98,78643,273600
99,78645,367500
100,78650,223200
101,78652,435300
102,78653,288500
103,78654,294800
104,78657,409300
105,78659,247600
106,78660,335500
107,78662,228900
108,78663,178800
109,78664,281800
110,78665,381300
111,78666,248700
112,78669,548300
113,78671,176400
114,78672,197300
115,78675,411400
116,78676,434100
117,78681,418900
118,78701,609800
119,78702,569700
120,78703,1194200
121,78704,721200
122,78705,493900
123,78712,-666666666
124,78717,532400
125,78719,130000
126,78721,436900
127,78722,622900
128,78723,456100
129,78724,224200
130,78725,266000
131,78726,592500
132,78727,417300
133,78729,381600
134,78730,929500
135,78731,778000
136,78732,666800
137,78733,859100
138,78734,571100
139,78735,741000
140,78736,493800
141,78737,628800
142,78738,691400
143,78739,644200
144,78741,325200
145,78742,-666666666
146,78744,265900
147,78745,398200
148,78746,1209300
149,78747,318700
150,78748,385300
151,78749,474900
152,78750,531700
153,78751,626600
154,78752,330500
155,78753,302200
156,78754,288100
157,78756,720100
158,78757,598900
159,78758,361900
160,78759,587700
161,78942,180500
162,78946,164200
163,78947,235300
164,78948,238600
165,78953,264100
