Zip Code,2020 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
78643,624.0,227700.0,812.0,1347.0,459.0,2666,2112,554
78645,873.0,293900.0,1331.0,1841.0,719.0,4851,4105,746
78650,553.0,191700.0,738.0,1149.0,633.0,702,578,124
78652,1294.0,320100.0,1760.0,2103.0,601.0,2210,1450,760
78653,1282.0,219800.0,1572.0,1712.0,610.0,8981,7565,1416
78654,815.0,226200.0,913.0,1534.0,576.0,7174,5216,1958
78657,932.0,321100.0,1067.0,1425.0,691.0,2787,2429,358
78659,,259000.0,645.0,1612.0,454.0,943,879,64
78660,1248.0,254400.0,1640.0,1846.0,758.0,33953,25252,8701
78662,,211600.0,738.0,1423.0,343.0,1041,795,246
78663,,,,1755.0,703.0,304,249,55
78664,1134.0,231800.0,1536.0,1657.0,668.0,21034,11435,9599
78665,1330.0,286300.0,1831.0,2033.0,820.0,16257,10702,5555
78666,952.0,186400.0,1018.0,1500.0,519.0,29205,11069,18136
78669,795.0,447700.0,2164.0,2733.0,811.0,5185,4763,422
78671,,162000.0,782.0,1263.0,513.0,229,174,55
78672,,132100.0,715.0,988.0,368.0,497,483,14
78675,,,850.0,,521.0,129,106,23
78676,936.0,355400.0,1309.0,1852.0,744.0,5884,4608,1276
78681,1270.0,320200.0,1890.0,2214.0,799.0,18018,13689,4329
78701,2169.0,498400.0,2865.0,3250.0,1501.0,7287,2748,4539
78702,1181.0,449400.0,1657.0,2381.0,769.0,10513,4262,6251
78703,1470.0,980500.0,2898.0,3941.0,1501.0,9478,5343,4135
78704,1377.0,596200.0,2178.0,2893.0,1091.0,26471,8758,17713
78705,1247.0,405800.0,1537.0,2541.0,895.0,8492,764,7728
78712,,,,,,0,0,0
78717,1281.0,390000.0,2260.0,2647.0,1034.0,9916,5900,4016
78719,836.0,153600.0,961.0,1318.0,485.0,405,319,86
78721,1101.0,321900.0,1211.0,1710.0,584.0,4027,2119,1908
78722,1262.0,442300.0,1790.0,2503.0,850.0,3145,1456,1689
78723,1043.0,371200.0,1747.0,2162.0,744.0,14192,6835,7357
78724,1048.0,150400.0,981.0,1360.0,556.0,6619,4180,2439
78725,1204.0,190600.0,1250.0,1450.0,566.0,3038,2583,455
78726,1191.0,468900.0,2819.0,3117.0,887.0,5604,2476,3128
78727,1262.0,320000.0,1615.0,1942.0,807.0,13911,6221,7690
78729,1203.0,310800.0,1721.0,1922.0,700.0,11516,4811,6705
78730,1246.0,761700.0,3529.0,4001.0,1501.0,4453,2566,1887
78731,1228.0,642300.0,2201.0,3442.0,1126.0,13412,7313,6099
78732,1447.0,546400.0,2953.0,3384.0,1248.0,6197,4597,1600
78733,1767.0,684400.0,2623.0,3283.0,1240.0,2839,2578,261
78734,1574.0,436800.0,2115.0,2459.0,988.0,8181,6786,1395
78735,1480.0,555300.0,2451.0,3105.0,1120.0,7862,3871,3991
78736,1400.0,368000.0,1678.0,2489.0,656.0,3677,2665,1012
78737,1656.0,482000.0,2590.0,2969.0,1015.0,6280,5708,572
78738,1432.0,568600.0,2579.0,2954.0,1170.0,6368,4611,1757
78739,2250.0,493600.0,2539.0,2903.0,1058.0,6788,6395,393
78741,1050.0,250500.0,1180.0,1786.0,473.0,20714,3467,17247
78742,924.0,,432.0,1848.0,263.0,273,170,103
78744,1064.0,196700.0,1153.0,1412.0,606.0,16053,7677,8376
78745,1199.0,307700.0,1381.0,1773.0,648.0,27994,13565,14429
78746,1487.0,936000.0,3133.0,4001.0,1501.0,10414,7224,3190
78747,1383.0,247200.0,1383.0,1567.0,692.0,6657,5305,1352
78748,1322.0,297600.0,1614.0,1814.0,733.0,21027,12485,8542
78749,1351.0,363600.0,1765.0,2029.0,866.0,15836,10462,5374
78750,1350.0,409800.0,1730.0,2360.0,1048.0,12383,7193,5190
78751,1224.0,482100.0,2222.0,2819.0,906.0,8446,2124,6322
78752,1035.0,292500.0,1394.0,1954.0,542.0,9133,2129,7004
78753,973.0,218100.0,1305.0,1638.0,674.0,21602,7644,13958
78754,1135.0,245300.0,1499.0,1729.0,601.0,9348,5410,3938
78756,1241.0,562300.0,2007.0,2930.0,1217.0,4414,1997,2417
78757,1078.0,447000.0,1655.0,2401.0,827.0,11261,6369,4892
78758,1115.0,261300.0,1321.0,1654.0,614.0,21851,6301,15550
78759,1175.0,459600.0,1769.0,2532.0,862.0,21740,10542,11198
78942,668.0,150400.0,777.0,1313.0,510.0,3194,2285,909
78946,769.0,123000.0,534.0,1467.0,468.0,499,360,139
78947,719.0,210100.0,687.0,1515.0,485.0,1742,1562,180
78948,,357100.0,564.0,1575.0,546.0,154,132,22
78953,996.0,161000.0,964.0,1258.0,536.0,403,282,121
