Zip Code,2022 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,675.0,147700.0,882.0,1320.0,510.0,6600,4313,2287
76502,1091.0,222600.0,1315.0,1646.0,636.0,17425,11352,6073
76504,836.0,142600.0,955.0,1313.0,490.0,9990,3177,6813
76511,375.0,150200.0,837.0,1260.0,555.0,895,725,170
76513,961.0,235500.0,1274.0,1788.0,608.0,14872,10069,4803
76518,488.0,160700.0,544.0,1453.0,434.0,524,404,120
76519,,171900.0,,2486.0,540.0,177,177,0
76520,652.0,135000.0,725.0,1200.0,494.0,2731,2005,726
76522,778.0,153000.0,1079.0,1389.0,543.0,15716,9399,6317
76524,778.0,176800.0,1104.0,1478.0,527.0,1452,1181,271
76525,552.0,142600.0,621.0,1236.0,449.0,495,374,121
76527,553.0,374400.0,1440.0,2043.0,656.0,1501,1108,393
76528,657.0,157900.0,741.0,1421.0,472.0,6592,4591,2001
76530,555.0,201200.0,981.0,1629.0,588.0,963,816,147
76534,582.0,185000.0,1155.0,1457.0,577.0,1065,814,251
76537,1367.0,251900.0,1781.0,1867.0,627.0,3951,3225,726
76538,,123200.0,805.0,1220.0,535.0,496,423,73
76539,702.0,237200.0,1321.0,1642.0,619.0,3124,2886,238
76541,635.0,87400.0,567.0,1092.0,405.0,8321,1996,6325
76542,1006.0,210900.0,1394.0,1590.0,569.0,18996,11639,7357
76543,838.0,123100.0,841.0,1214.0,460.0,13081,4971,8110
76544,1276.0,9999.0,,,,4207,25,4182
76548,800.0,239400.0,1624.0,1828.0,683.0,11655,6516,5139
76549,999.0,185600.0,1220.0,1482.0,516.0,19398,10059,9339
76550,632.0,218300.0,968.0,1497.0,698.0,5050,3817,1233
76554,793.0,158000.0,940.0,1239.0,514.0,807,616,191
76556,,156600.0,497.0,1483.0,361.0,735,668,67
76557,792.0,168800.0,786.0,1705.0,387.0,1805,1383,422
76559,762.0,171600.0,1399.0,1499.0,344.0,2319,1529,790
