Zip Code,2019 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,534.0,121000.0,783.0,1134.0,474.0,6293,3888,2405
76502,972.0,163600.0,1143.0,1430.0,556.0,15369,10396,4973
76504,707.0,96100.0,771.0,1113.0,425.0,9107,3574,5533
76511,505.0,91500.0,520.0,1110.0,367.0,641,494,147
76513,744.0,173000.0,1067.0,1526.0,539.0,13669,9180,4489
76518,675.0,98300.0,435.0,1414.0,377.0,561,466,95
76519,,202000.0,658.0,,375.0,145,134,11
76520,484.0,94700.0,629.0,976.0,513.0,2833,1879,954
76522,667.0,118300.0,953.0,1219.0,485.0,13651,7859,5792
76524,670.0,124000.0,929.0,1198.0,452.0,1113,995,118
76525,506.0,104900.0,521.0,1072.0,395.0,438,335,103
76527,602.0,171200.0,864.0,1493.0,532.0,1007,669,338
76528,539.0,113600.0,656.0,1127.0,378.0,6256,4409,1847
76530,558.0,150400.0,772.0,1356.0,471.0,675,530,145
76534,545.0,157300.0,832.0,1429.0,527.0,1014,751,263
76537,1012.0,180000.0,1342.0,1453.0,552.0,1814,1439,375
76538,758.0,158800.0,660.0,1288.0,545.0,360,242,118
76539,605.0,190400.0,1196.0,1435.0,530.0,3182,2850,332
76541,528.0,69900.0,568.0,948.0,376.0,7564,2085,5479
76542,883.0,153900.0,1227.0,1405.0,493.0,18194,10066,8128
76543,694.0,91500.0,841.0,1071.0,396.0,11847,4314,7533
76544,1220.0,92000.0,555.0,,491.0,3319,70,3249
76548,776.0,202100.0,1478.0,1707.0,557.0,10234,6268,3966
76549,876.0,138900.0,1167.0,1285.0,472.0,17895,8737,9158
76550,525.0,145900.0,807.0,1419.0,553.0,4956,3583,1373
76554,710.0,112300.0,901.0,1045.0,396.0,749,534,215
76556,508.0,118200.0,633.0,1319.0,344.0,591,515,76
76557,448.0,150400.0,580.0,1208.0,412.0,1874,1564,310
76559,672.0,132600.0,1218.0,1387.0,401.0,2128,1226,902
76561,443.0,88800.0,737.0,963.0,417.0,372,283,89
76566,,179900.0,564.0,1375.0,404.0,98,91,7
76567,613.0,109800.0,689.0,1068.0,395.0,3556,2365,1191
76569,801.0,85500.0,790.0,1273.0,463.0,812,584,228
76570,411.0,65000.0,441.0,1371.0,351.0,868,671,197
76571,665.0,292700.0,1370.0,1789.0,638.0,2933,2428,505
76574,730.0,163400.0,1021.0,1463.0,577.0,6356,4322,2034
76577,588.0,149300.0,646.0,1385.0,394.0,1214,938,276
76578,688.0,160400.0,777.0,1402.0,478.0,433,358,75
76579,754.0,140600.0,767.0,1189.0,417.0,1586,1202,384
76624,635.0,109500.0,729.0,1297.0,380.0,727,582,145
76630,703.0,148800.0,1000.0,1425.0,458.0,472,426,46
76632,832.0,83900.0,451.0,1208.0,369.0,588,466,122
76633,661.0,213500.0,922.0,1619.0,640.0,1793,1614,179
76638,805.0,240700.0,956.0,1935.0,578.0,1036,913,123
76640,576.0,88200.0,656.0,1087.0,368.0,1222,836,386
76643,913.0,167500.0,1120.0,1476.0,585.0,5425,3962,1463
76655,766.0,201100.0,1242.0,1788.0,594.0,2921,2446,475
76656,391.0,108800.0,729.0,1288.0,370.0,712,570,142
76657,740.0,194200.0,1188.0,1710.0,562.0,3379,2438,941
76661,336.0,58400.0,529.0,976.0,392.0,2081,1183,898
76664,551.0,109200.0,735.0,1203.0,484.0,1214,876,338
76680,,,410.0,,277.0,108,108,0
76682,717.0,95200.0,591.0,1187.0,415.0,1015,772,243
76685,,,,,,32,15,17
76691,611.0,113600.0,698.0,1269.0,442.0,2360,1823,537
76701,849.0,,,1908.0,533.0,706,156,550
76704,497.0,85500.0,545.0,974.0,389.0,3140,1131,2009
76705,597.0,97800.0,749.0,1083.0,421.0,10632,6291,4341
76706,750.0,123400.0,814.0,1366.0,501.0,13310,5269,8041
76707,624.0,77800.0,696.0,942.0,386.0,5225,2377,2848
76708,689.0,140500.0,937.0,1333.0,468.0,9740,6088,3652
76710,710.0,137300.0,961.0,1353.0,546.0,10814,5249,5565
76711,768.0,68500.0,580.0,869.0,385.0,3470,1790,1680
76712,816.0,209000.0,1315.0,1621.0,689.0,10007,7137,2870
76798,,,,,,0,0,0
76831,,,,,,0,0,0
76853,489.0,127700.0,854.0,1137.0,386.0,530,398,132
76885,,,,,,71,48,23
77853,565.0,94600.0,668.0,1205.0,453.0,439,368,71
78602,783.0,195400.0,1103.0,1467.0,578.0,9315,7282,2033
78605,622.0,163800.0,808.0,1324.0,388.0,1966,1693,273
78606,642.0,264500.0,884.0,1631.0,574.0,2031,1575,456
78607,,350000.0,531.0,,531.0,57,47,10
78608,,168500.0,950.0,1500.0,,202,157,45
78609,669.0,160000.0,601.0,1414.0,391.0,825,633,192
78610,1152.0,255000.0,1723.0,1931.0,674.0,12584,9485,3099
78611,625.0,179500.0,822.0,1453.0,507.0,4468,3432,1036
78612,1117.0,163200.0,1018.0,1468.0,523.0,3893,3210,683
78613,1272.0,295000.0,1862.0,2110.0,777.0,26937,18709,8228
78615,675.0,178400.0,930.0,1470.0,521.0,331,257,74
78617,996.0,148300.0,1103.0,1391.0,493.0,6790,5280,1510
78618,710.0,326400.0,683.0,1542.0,500.0,130,111,19
78619,994.0,486600.0,1937.0,3034.0,796.0,1532,1343,189
78620,976.0,413300.0,1882.0,2557.0,830.0,6107,5249,858
78621,679.0,166300.0,1011.0,1387.0,508.0,6966,5299,1667
78624,837.0,294000.0,777.0,1639.0,563.0,9036,6419,2617
78626,1092.0,221900.0,1382.0,1631.0,618.0,11129,7422,3707
78628,1040.0,309800.0,1666.0,2178.0,747.0,12333,8830,3503
78631,784.0,227200.0,696.0,1494.0,382.0,1061,930,131
78633,1433.0,319500.0,1042.0,1867.0,729.0,11966,10893,1073
78634,1170.0,203900.0,1567.0,1681.0,667.0,10403,8580,1823
78635,,343000.0,1300.0,1360.0,198.0,150,119,31
78636,746.0,262300.0,842.0,1520.0,605.0,1530,1143,387
78639,723.0,154700.0,816.0,1163.0,477.0,3389,2453,936
78640,1209.0,189100.0,1385.0,1579.0,565.0,18428,12991,5437
78641,1296.0,253600.0,1679.0,1893.0,729.0,21929,17744,4185
78642,679.0,280100.0,1464.0,2086.0,561.0,3812,3061,751
78643,535.0,171300.0,652.0,1199.0,436.0,2301,1806,495
78645,1115.0,252800.0,1270.0,1728.0,610.0,4550,3796,754
78650,568.0,155700.0,676.0,1109.0,514.0,535,414,121
78652,1401.0,306200.0,1551.0,1990.0,576.0,2138,1422,716
78653,1228.0,187700.0,1393.0,1558.0,559.0,7270,5997,1273
78654,701.0,207900.0,904.0,1489.0,550.0,7082,5044,2038
78657,918.0,314700.0,1043.0,1705.0,791.0,2720,2290,430
78659,555.0,181000.0,682.0,1539.0,466.0,942,806,136
78660,1254.0,232700.0,1603.0,1781.0,696.0,30885,22871,8014
78662,909.0,191900.0,714.0,1292.0,574.0,772,601,171
78663,638.0,,1537.0,1760.0,575.0,354,302,52
78664,1129.0,215800.0,1475.0,1629.0,662.0,20606,11385,9221
78665,1305.0,266400.0,1745.0,1920.0,838.0,14791,10429,4362
78666,918.0,172100.0,999.0,1470.0,514.0,29054,11368,17686
78669,781.0,449800.0,1980.0,2876.0,777.0,4667,4178,489
78671,720.0,156000.0,670.0,1253.0,518.0,323,188,135
78672,,123600.0,535.0,967.0,313.0,611,573,38
78675,,,738.0,,491.0,150,127,23
78676,1064.0,296800.0,1176.0,1592.0,679.0,5312,4441,871
78681,1249.0,299700.0,1814.0,2121.0,806.0,17448,13305,4143
78701,2127.0,448100.0,2406.0,2797.0,1335.0,6395,2127,4268
78702,1019.0,399400.0,1433.0,2192.0,718.0,9713,4104,5609
78703,1353.0,849600.0,2816.0,3814.0,1426.0,9545,5213,4332
78704,1304.0,553300.0,2041.0,2813.0,1053.0,25071,8938,16133
78705,1225.0,431300.0,1558.0,2614.0,1159.0,8873,875,7998
78712,,,,,,0,0,0
78717,1264.0,369200.0,2250.0,2571.0,1105.0,10552,6061,4491
78719,807.0,144000.0,976.0,1262.0,560.0,428,351,77
78721,965.0,284400.0,1141.0,1444.0,585.0,4208,2222,1986
78722,1230.0,423100.0,1758.0,2007.0,871.0,3260,1432,1828
78723,959.0,338100.0,1607.0,1989.0,664.0,13527,6242,7285
78724,987.0,147400.0,1046.0,1342.0,625.0,6776,4407,2369
78725,1219.0,167700.0,1173.0,1422.0,493.0,2775,2309,466
78726,1119.0,473500.0,2556.0,2926.0,1111.0,5877,2427,3450
78727,1205.0,295200.0,1574.0,1872.0,768.0,13557,6391,7166
78729,1159.0,285500.0,1684.0,1880.0,676.0,11898,5090,6808
78730,1214.0,730800.0,3534.0,4001.0,1501.0,4059,2451,1608
78731,1178.0,636800.0,2352.0,3326.0,1182.0,12537,7270,5267
78732,1791.0,536800.0,2743.0,3142.0,1254.0,5867,4602,1265
78733,2012.0,623900.0,2428.0,3180.0,1268.0,2932,2612,320
78734,1698.0,421300.0,2070.0,2412.0,943.0,7751,6334,1417
78735,1410.0,496200.0,2564.0,2959.0,1181.0,7609,4001,3608
78736,1430.0,344200.0,1571.0,2541.0,639.0,3678,2759,919
78737,1568.0,454600.0,2567.0,2941.0,991.0,5621,5188,433
78738,1431.0,562800.0,2655.0,3141.0,1187.0,6216,4477,1739
78739,2279.0,467000.0,2491.0,2784.0,1049.0,6695,6366,329
78741,999.0,208300.0,1085.0,1568.0,477.0,21664,3388,18276
78742,1003.0,,452.0,1848.0,344.0,271,168,103
78744,975.0,164300.0,1098.0,1317.0,520.0,15493,6727,8766
78745,1167.0,279500.0,1329.0,1707.0,643.0,26756,12379,14377
78746,1455.0,903900.0,3034.0,4001.0,1501.0,10894,7562,3332
78747,1333.0,235600.0,1336.0,1519.0,715.0,6971,5312,1659
78748,1239.0,272100.0,1601.0,1733.0,673.0,20239,12294,7945
