Zip Code,2018 Median Contract Rent,Median Monthly Cost,Total Median Monthly Cost,Median Monthly Cost With Mortgage,Median Monthly Cost Without Mortgage,Total Housing Units,Housing Units Owned,Housing Units Rented
76501,523.0,117400.0,754.0,1093.0,481.0,6236,3836,2400
76502,930.0,159300.0,1122.0,1404.0,556.0,14826,9975,4851
76504,680.0,93100.0,689.0,1076.0,410.0,8929,3566,5363
76511,393.0,93100.0,537.0,1178.0,337.0,736,559,177
76513,668.0,167400.0,1023.0,1483.0,547.0,13268,8901,4367
76518,663.0,85900.0,406.0,1219.0,318.0,543,465,78
76519,,201200.0,604.0,,384.0,115,106,9
76520,476.0,91400.0,596.0,1029.0,472.0,2944,1963,981
76522,680.0,115100.0,954.0,1197.0,484.0,13561,7817,5744
76524,656.0,130800.0,915.0,1198.0,450.0,1038,918,120
76525,406.0,100300.0,483.0,1103.0,363.0,437,335,102
76527,609.0,168600.0,886.0,1362.0,520.0,1233,848,385
76528,552.0,107200.0,698.0,1150.0,371.0,6123,4432,1691
76530,518.0,146100.0,766.0,1309.0,504.0,740,543,197
76534,481.0,129800.0,833.0,1359.0,532.0,961,684,277
76537,927.0,166900.0,1249.0,1376.0,551.0,1805,1360,445
76538,746.0,122400.0,658.0,1159.0,396.0,303,220,83
76539,676.0,164900.0,1028.0,1430.0,510.0,3132,2743,389
76541,529.0,69300.0,583.0,904.0,394.0,7762,2164,5598
76542,871.0,147300.0,1205.0,1371.0,488.0,17384,9806,7578
76543,672.0,89400.0,829.0,1022.0,390.0,11899,4303,7596
76544,1198.0,84400.0,,,444.0,3793,42,3751
76548,747.0,190200.0,1379.0,1677.0,549.0,10363,6319,4044
76549,884.0,133300.0,1140.0,1249.0,446.0,17267,8670,8597
76550,531.0,131800.0,725.0,1332.0,527.0,4950,3544,1406
76554,648.0,119000.0,819.0,1019.0,396.0,714,523,191
76556,405.0,100600.0,495.0,1104.0,402.0,542,452,90
76557,506.0,133900.0,609.0,1219.0,421.0,1854,1543,311
